,Unnamed: 0,County,Pollutant,Sample,Latitude,Longitude
1,2,Alameda,NO2,0.109131002419,37.687526,-121.784217
5,6,Contra Costa,NO2,0.0615696343298,37.936013,-122.026154
9,10,Fresno,NO2,0.104955460987,36.705506,-119.741966
13,14,Humboldt,NO2,0.018236545344,40.776944,-124.1775
17,18,Imperial,NO2,0.0826723899862,32.676186,-115.484144
21,22,Los Angeles,NO2,0.154868223331,34.1365,-117.92391
25,26,Orange,NO2,0.158806262533,33.83062,-117.93845
29,30,Riverside,NO2,0.0846690576703,33.447867,-117.088649
33,34,Sacramento,NO2,0.0683286868016,38.71209,-121.38109
37,38,San Bernardino,NO2,0.183702091255,34.895007,-117.024484
41,42,San Diego,NO2,0.0930914722552,32.631231,-117.059075
45,46,Santa Barbara,NO2,0.0266546909903,34.46245,-120.02551
49,50,Santa Clara,NO2,0.136568868156,37.348497,-121.894898
53,54,Solano,NO2,0.0720165269461,38.102507,-122.237976
