,Unnamed: 0,County,Pollutant,Sample,Latitude,Longitude
3,4,Alameda,SO2,0.0114273131633,37.814781,-122.282347
7,8,Contra Costa,SO2,0.0158587075276,37.936013,-122.026154
11,12,Fresno,SO2,0.00615121816822,36.785322,-119.774174
15,16,Humboldt,SO2,0.00345805439961,40.776944,-124.1775
19,20,Imperial,SO2,0.00938684557326,32.676186,-115.484144
23,24,Los Angeles,SO2,0.0079018663212,34.06659,-118.22688
27,28,Orange,SO2,0.00151148730351,33.67464,-117.92568
31,32,Riverside,SO2,0.00312590675607,33.99958,-117.41601
35,36,Sacramento,SO2,0.0354695121951,38.613779,-121.368014
39,40,San Bernardino,SO2,0.00891155427863,34.510014,-117.331433
43,44,San Diego,SO2,0.00127656477438,32.817978,-116.968133
47,48,Santa Barbara,SO2,0.00252181445564,34.46245,-120.02551
51,52,Santa Clara,SO2,0.00270422535211,37.348497,-121.894898
55,56,Solano,SO2,0.00972746331237,38.102507,-122.237976
