County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,3,CO,0.011327645,37.743065,-122.169935
Contra Costa,3,CO,0.007753937,37.936013,-122.026154
Fresno,3,CO,0.006501361,36.785322,-119.774174
Humboldt,3,CO,0.005015569,40.776944,-124.1775
Imperial,3,CO,0.005088956,32.676186,-115.484144
Los Angeles,3,CO,0.007563449,34.1365,-117.92391
Orange,3,CO,0.009715856,33.83062,-117.93845
Riverside,3,CO,0.005878373,33.85275,-116.54101
Sacramento,3,CO,0.008059782,38.71209,-121.38109
San Bernardino,3,CO,0.010687206,34.895007,-117.024484
San Diego,3,CO,0.009193692,32.701492,-117.149653
Santa Barbara,3,CO,0.004262463,34.427775,-119.691218
Santa Clara,3,CO,0.011074587,37.348497,-121.894898
Solano,3,CO,0.007780305,38.102507,-122.237976
