Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
US,291.8,306.0,300.2,310.7,312.0,309.1,292.3,304.3,326.9,319.1,319.1,342.3,350.8,346.9,379.0,388.6,400.9,386.1,400.5,430.2,440.4,435.0,453.8,474.9,480.5,483.1,478.6,481.9,499.8,501.7,506.2,529.2,540.4,545.7,544.9,569.0,552.2,552.0,562.5,566.1,574.5,565.7,573.3,564.2,496.2,525.0,495.4,437.9,454.6,453.5,391.8,358.4,--8.8%,--3.8%,9.6%
Canada,15.5,15.2,15.0,16.3,15.8,16.9,16.1,15.2,15.6,15.9,15.5,18.3,23.4,19.2,18.2,22.2,22.6,23.9,25.0,27.9,26.8,24.8,26.7,28.7,28.6,27.1,26.3,26.8,23.8,25.2,26.3,26.9,28.1,30.1,28.9,30.6,31.8,32.0,31.9,30.0,30.1,29.2,30.3,29.4,23.5,24.8,21.8,21.0,20.8,19.7,19.6,18.7,--5.2%,--4.2%,0.5%
Mexico,0.7,0.7,0.9,0.9,1.0,1.1,1.4,1.5,1.6,1.8,2.0,1.6,2.2,2.3,2.3,2.3,2.1,2.5,2.8,2.8,3.0,3.4,3.2,3.1,3.4,3.4,3.3,3.3,3.7,4.5,5.0,5.7,5.7,5.9,6.0,6.6,7.2,12.0,8.9,9.1,11.5,12.3,11.3,10.1,10.3,12.7,14.7,12.8,12.7,12.7,12.7,9.8,--22.9%,1.0%,0.3%
Total North America,308.0,321.9,316.2,328.0,328.7,327.1,309.7,321.0,344.1,336.8,336.6,362.2,376.5,368.5,399.5,413.1,425.6,412.5,428.4,460.9,470.3,463.2,483.8,506.7,512.6,513.7,508.1,511.9,527.3,531.4,537.6,561.9,574.3,581.6,579.8,606.1,591.2,596.0,603.3,605.2,616.0,607.1,614.9,603.7,530.0,562.5,531.9,471.8,488.1,486.0,424.2,386.9,--9.0%,--3.7%,10.4%
Argentina,0.8,0.8,0.8,0.7,0.9,1.0,0.8,0.7,0.8,1.0,1.1,1.1,0.9,1.2,1.0,0.9,0.8,0.8,0.8,0.5,0.6,0.9,1.0,1.0,1.0,0.9,0.7,0.7,0.8,1.1,1.0,0.9,0.8,0.7,0.7,0.6,0.7,0.6,0.7,1.1,1.1,1.1,1.2,1.4,1.0,1.3,1.5,1.3,1.3,1.5,1.4,1.1,--22.5%,1.9%,♦
Brazil,1.7,1.9,1.9,1.9,2.1,2.4,2.5,2.6,2.5,2.7,3.2,3.4,4.3,5.0,5.4,5.9,5.8,6.1,6.9,8.5,10.0,10.1,10.6,10.9,10.8,9.6,11.0,10.7,11.0,11.3,11.8,12.2,12.3,12.0,12.2,13.0,12.8,12.4,12.8,13.5,13.0,12.8,13.6,13.8,11.1,14.5,15.4,15.3,16.5,17.5,17.7,16.5,--6.8%,3.1%,0.4%
Chile,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.0,1.1,1.1,0.8,0.9,0.9,0.9,1.0,1.1,1.1,0.7,0.9,1.2,1.2,1.1,1.1,1.6,2.2,2.6,2.1,1.9,1.9,2.2,2.4,3.3,4.3,4.0,4.2,3.2,2.5,2.5,2.4,2.8,2.8,3.4,4.1,4.4,4.0,4.5,5.8,6.7,7.5,7.6,7.3,8.2,12.3%,10.2%,0.2%
Colombia,2.0,2.0,2.2,2.0,2.1,2.2,1.7,1.8,1.8,2.2,2.3,2.2,2.3,2.3,2.3,2.4,2.5,2.6,2.8,3.0,3.1,3.0,3.8,3.0,3.5,1.6,2.0,3.4,3.5,4.0,3.6,2.8,3.3,3.2,2.5,2.7,2.7,2.2,2.4,2.1,1.3,3.7,3.2,4.9,4.0,4.7,3.7,4.6,5.0,5.2,5.3,4.6,--14.0%,14.8%,0.1%
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
