Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
US,0.9,1.3,1.8,3.0,3.3,5.2,9.1,12.9,19.9,27.1,41.1,45.5,59.8,65.8,60.8,59.8,64.9,67.4,69.9,78.0,91.4,98.6,108.4,125.5,126.1,137.4,145.9,147.4,145.4,152.5,160.4,160.7,149.7,160.5,173.5,179.6,183.1,185.8,181.9,187.8,186.3,187.5,192.1,192.0,190.3,192.2,188.2,183.2,187.9,189.9,189.9,191.8,0.7%,0.2%,32.4%
Canada,^,^,^,0.2,0.1,0.2,0.9,1.5,3.2,3.1,2.7,3.6,6.1,7.5,7.5,8.1,8.2,8.7,11.0,11.8,13.7,16.1,17.5,18.8,17.9,16.4,19.1,18.1,21.1,24.2,22.0,20.8,18.5,16.1,16.5,16.4,17.2,17.0,16.8,20.3,20.7,22.0,21.0,21.6,20.2,20.4,21.0,21.3,23.2,24.1,22.8,23.2,1.6%,1.0%,3.9%
Mexico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.7,1.0,0.9,1.1,1.0,1.9,1.8,2.4,2.1,2.3,1.9,2.0,2.2,2.4,2.1,2.4,2.5,2.4,2.2,2.4,1.3,2.3,2.0,2.7,2.2,2.6,2.4,--9.0%,0.7%,0.4%
Total North America,0.9,1.4,1.9,3.2,3.4,5.4,10.0,14.4,23.1,30.3,43.8,49.1,65.8,73.3,68.3,67.9,73.1,76.0,81.0,89.9,105.1,114.7,125.9,144.3,144.1,154.5,165.9,166.4,167.6,177.7,184.3,183.3,170.6,178.6,192.2,197.8,202.3,205.0,201.1,210.2,209.4,212.0,215.4,215.8,212.9,213.9,211.5,206.5,213.8,216.2,215.3,217.4,0.7%,0.3%,36.7%
Argentina,-,-,-,-,-,-,-,-,-,0.2,0.5,0.5,0.4,0.6,0.6,0.5,0.6,0.4,0.8,1.0,1.3,1.3,1.5,1.3,1.1,1.6,1.8,1.6,1.8,1.9,1.6,1.7,1.8,1.7,1.6,1.4,1.6,1.3,1.7,1.8,1.6,1.7,1.6,1.7,1.9,1.6,1.4,1.4,1.4,1.3,1.6,1.9,17.5%,0.4%,0.3%
Brazil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,0.8,^,0.2,0.1,0.4,0.5,0.3,0.4,0.1,^,0.6,0.5,0.7,0.7,0.9,1.4,3.2,3.1,3.0,2.6,2.2,3.1,2.8,3.2,2.9,3.3,3.5,3.6,3.5,3.5,3.3,3.6,7.5%,4.1%,0.6%
Chile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Colombia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Peru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Trinidad & Tobago,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Other S. & Cent. America,-,^,^,^,^,^,^,^,^,^,^,^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
Total S. & Cent. America,-,^,^,^,^,^,^,^,^,0.2,0.5,0.5,0.4,0.6,0.6,0.5,0.6,0.4,0.8,1.4,2.1,1.3,1.7,1.4,1.6,2.2,2.1,2.0,1.9,1.9,2.2,2.2,2.5,2.4,2.5,2.8,4.8,4.4,4.7,4.4,3.8,4.9,4.4,4.8,4.8,4.9,5.0,5.1,4.9,4.8,5.0,5.5,10.7%,2.7%,0.9%
Austria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,♦,♦,♦
