Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
US,1286.5,1359.8,1406.8,1492.3,1573.0,1626.7,1659.0,1741.5,1810.7,1763.8,1716.4,1808.3,1853.1,1851.8,1877.5,1811.6,1759.5,1682.7,1671.5,1760.9,1755.4,1761.4,1822.2,1906.4,1960.2,1965.8,1963.2,1994.7,2036.7,2074.4,2119.0,2189.5,2206.7,2220.6,2257.8,2309.9,2256.4,2290.9,2299.0,2345.8,2348.7,2331.6,2370.2,2318.8,2205.1,2284.1,2264.5,2209.3,2270.6,2296.5,2275.9,2272.7,--0.4%,--0.3%,17.1%
Canada,116.3,123.5,129.6,138.4,146.2,156.6,161.0,172.2,182.8,189.1,187.0,197.4,207.1,210.6,212.9,218.0,212.0,215.1,213.3,227.3,234.4,234.7,242.7,253.1,256.2,251.4,251.8,258.3,264.2,274.0,280.8,291.0,292.5,286.6,294.1,303.2,296.9,305.3,312.3,315.6,322.6,319.5,325.4,326.0,310.5,315.5,327.6,326.5,336.1,334.3,327.7,329.7,0.3%,0.2%,2.5%
Mexico,24.4,25.7,26.0,28.4,31.3,33.3,34.9,38.4,41.3,46.0,49.6,52.9,55.8,63.4,70.4,76.5,84.3,88.2,87.3,91.9,95.8,92.4,95.5,96.0,100.8,106.3,110.8,112.7,113.6,121.3,117.6,122.7,127.4,134.4,135.9,142.2,141.7,145.9,148.5,155.8,167.7,172.9,170.8,174.3,174.1,178.3,186.5,188.5,189.1,190.4,188.8,186.5,--1.5%,1.2%,1.4%
Total North America,1427.3,1509.0,1562.4,1659.1,1750.4,1816.6,1854.8,1952.1,2034.7,1998.8,1953.0,2058.6,2116.0,2125.8,2160.9,2106.1,2055.8,1986.0,1972.1,2080.1,2085.6,2088.6,2160.4,2255.5,2317.3,2323.5,2325.7,2365.7,2414.5,2469.6,2517.5,2603.2,2626.5,2641.5,2687.9,2755.3,2695.0,2742.1,2759.9,2817.3,2839.0,2824.1,2866.5,2819.2,2689.7,2777.8,2778.6,2724.3,2795.9,2821.2,2792.4,2788.9,--0.4%,--0.2%,21.0%
Argentina,26.9,28.0,28.7,29.6,30.7,28.9,30.4,31.1,32.3,33.3,33.0,34.4,35.6,36.5,39.0,39.3,37.7,38.1,40.2,40.2,39.2,44.4,46.5,47.7,46.1,45.3,46.5,48.8,49.4,50.8,52.8,55.5,57.7,58.8,58.4,61.5,60.7,58.3,61.9,64.8,69.0,72.5,75.6,76.8,74.8,79.7,81.4,83.4,86.5,86.7,88.7,88.9,--0.1%,2.5%,0.7%
Brazil,22.0,24.0,24.9,28.5,31.1,36.7,40.1,46.2,55.1,60.1,63.5,69.7,74.7,82.6,89.6,91.3,88.9,93.5,95.6,102.9,109.9,117.7,121.3,125.9,128.6,126.0,130.9,137.1,143.1,150.4,157.9,166.7,175.7,181.9,184.9,187.9,185.5,190.5,194.2,204.4,211.3,216.8,231.8,243.9,243.0,267.6,279.7,284.8,296.8,304.9,302.6,297.8,--1.8%,3.7%,2.2%
Chile,6.1,6.6,6.7,6.6,7.2,7.5,8.1,8.3,8.0,7.9,7.1,7.5,7.7,8.2,8.5,8.7,9.0,8.2,8.4,8.8,9.0,9.4,9.9,11.1,12.3,13.0,14.2,15.7,16.6,17.5,18.8,20.0,22.9,22.9,23.7,25.0,25.3,26.2,26.0,27.3,28.5,30.6,31.5,31.2,30.9,30.4,33.7,34.1,34.4,35.4,35.9,36.8,2.0%,2.4%,0.3%
Colombia,7.5,8.2,8.7,9.2,9.3,10.1,9.8,11.1,11.0,12.4,12.6,13.1,13.4,14.4,15.3,15.5,15.9,16.6,17.4,17.9,18.6,19.2,20.9,20.8,21.9,20.4,21.2,22.3,24.5,26.3,26.7,27.4,28.3,28.4,26.2,26.0,25.7,25.6,26.5,27.1,27.2,30.7,30.8,34.0,32.0,34.2,35.7,38.4,38.2,40.3,41.0,41.1,♦,4.2%,0.3%
Ecuador,0.7,0.8,0.8,1.0,1.1,1.3,1.4,1.6,1.5,1.8,1.8,2.0,2.4,2.5,2.6,3.3,3.6,4.0,4.0,4.5,5.0,5.2,5.4,5.3,5.5,5.5,6.2,6.0,6.4,7.0,6.5,7.4,8.3,8.4,7.9,8.4,8.2,8.6,8.9,9.2,9.8,10.3,11.0,11.7,11.5,12.7,13.5,14.3,14.7,15.5,15.5,15.3,--1.3%,4.7%,0.1%
Peru,4.6,5.6,5.7,5.8,5.8,6.1,6.3,5.6,6.4,7.3,7.8,7.9,8.0,8.0,8.3,8.9,9.3,9.3,8.1,8.6,8.4,9.0,9.8,9.6,8.8,8.7,8.6,8.4,9.2,10.0,10.9,11.2,11.0,11.4,11.6,12.0,11.9,12.2,12.1,13.0,13.6,13.8,15.1,16.4,16.7,18.5,20.3,21.2,21.7,22.4,23.7,25.3,6.3%,5.7%,0.2%
Trinidad & Tobago,3.0,3.1,3.4,3.5,3.6,3.8,3.9,5.4,5.3,5.2,4.1,4.7,4.9,4.9,4.3,4.1,4.3,5.1,5.0,4.9,5.1,5.3,5.0,5.4,5.4,6.0,6.3,6.7,7.0,7.5,8.1,9.2,9.2,9.4,10.4,10.5,11.7,12.6,13.8,15.2,16.4,20.9,21.8,21.4,22.1,23.1,23.1,22.0,22.4,21.9,21.6,19.4,--10.7%,2.8%,0.1%
Venezuela,16.0,16.1,16.9,18.3,18.5,18.6,18.9,20.0,22.8,23.5,24.5,26.6,29.7,30.3,33.4,37.5,39.0,39.7,39.5,40.2,41.3,44.4,44.2,45.9,46.4,49.2,49.3,53.6,52.8,57.5,59.0,57.1,60.4,64.4,62.2,63.4,67.4,67.2,60.5,67.5,70.4,78.5,81.2,84.4,82.9,80.7,80.3,84.1,83.3,78.1,78.8,74.6,--5.5%,1.1%,0.6%
Other S. & Cent. America,22.0,23.4,24.6,25.2,27.0,28.9,38.0,39.7,42.7,42.0,41.6,43.2,44.6,46.9,49.1,55.0,55.4,50.4,48.8,49.4,47.1,49.6,53.0,52.7,56.5,57.4,57.7,57.3,59.5,63.4,66.7,69.1,74.6,78.2,80.5,81.7,83.1,84.7,89.1,90.2,91.1,93.8,95.1,93.4,92.2,94.8,97.8,98.7,98.7,98.9,102.6,106.2,3.3%,1.2%,0.8%
Total S. & Cent. America,108.8,115.7,120.4,127.7,134.2,141.9,156.8,169.0,185.2,193.5,196.1,209.1,221.1,234.1,249.9,263.6,263.0,264.8,266.9,277.3,283.6,304.3,315.9,324.6,331.4,331.5,340.8,355.9,368.5,390.5,407.4,423.7,448.1,463.8,466.0,476.3,479.5,486.1,492.9,518.6,537.2,567.8,593.9,613.2,606.0,641.7,665.4,680.9,696.7,704.1,710.4,705.3,--1.0%,2.8%,5.3%
Austria,15.9,16.6,16.8,18.0,18.7,21.4,21.4,22.1,23.8,23.8,23.6,24.6,24.6,25.7,27.1,26.9,26.1,25.2,25.1,25.0,26.2,26.4,27.9,27.4,27.5,28.1,29.5,28.9,29.4,29.2,30.7,30.9,31.5,32.0,32.6,32.6,34.0,34.1,34.7,35.3,36.1,35.8,35.0,35.7,34.6,35.9,33.8,35.4,35.1,33.8,33.9,35.1,3.3%,--0.6%,0.3%
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20.5,22.1,21.5,21.5,21.9,22.6,21.9,18.7,16.1,14.8,13.9,11.4,10.9,10.9,11.0,11.4,11.1,10.9,11.8,12.6,13.8,13.6,12.3,12.3,10.9,10.7,11.9,12.3,12.6,13.2,14.5,14.5,--0.4%,0.5%,0.1%
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35.6,40.6,41.3,42.0,40.7,39.1,38.7,36.8,29.6,24.7,22.4,23.0,23.3,22.9,22.3,23.0,22.5,23.1,23.0,24.9,24.8,26.3,25.7,25.9,24.4,25.9,25.9,27.9,24.7,25.5,22.4,23.7,5.4%,--1.0%,0.2%
Belgium,35.2,33.9,35.6,39.7,43.5,46.0,45.1,47.9,48.6,46.9,43.9,46.5,46.6,48.6,50.1,47.9,45.6,43.5,42.0,43.9,45.7,47.1,48.5,49.4,49.8,52.4,54.3,54.5,53.4,56.0,56.5,60.2,61.1,62.4,61.8,63.4,62.3,62.5,65.1,65.2,64.8,65.0,65.6,66.6,61.7,65.8,61.0,58.7,60.0,55.8,56.9,61.7,8.1%,--1.3%,0.5%
Bulgaria,10.2,10.9,12.7,14.3,15.9,17.9,18.5,19.1,19.8,20.4,22.5,23.8,25.1,26.0,27.0,28.5,28.0,28.7,28.8,28.7,28.5,29.1,29.3,30.0,29.7,24.7,20.2,18.6,20.0,19.6,21.5,21.4,20.4,19.6,17.5,18.1,18.6,18.1,19.2,18.9,19.7,20.1,19.6,19.5,17.1,17.8,19.1,18.1,16.7,17.9,19.0,18.1,--5.2%,--0.3%,0.1%
Czech Republic,40.2,40.5,39.9,41.6,43.4,45.2,47.5,47.7,48.0,48.5,50.5,51.9,53.6,54.3,54.9,53.2,52.8,52.1,52.2,53.6,54.0,54.5,55.7,56.0,54.2,48.3,44.0,41.5,40.6,39.0,40.5,41.9,42.1,40.6,37.9,40.7,41.5,41.6,43.9,44.5,44.2,45.1,44.9,43.6,41.2,43.2,42.4,41.9,41.8,40.2,40.2,39.9,--1.0%,--0.9%,0.3%
Denmark,14.1,16.1,16.1,16.9,19.4,20.6,19.5,20.6,19.9,18.1,17.8,19.6,20.0,20.3,20.2,19.7,17.7,17.0,16.1,16.4,18.5,18.9,18.2,18.0,16.6,17.1,19.8,18.5,19.6,21.1,20.7,24.7,22.3,21.5,20.8,20.0,20.0,19.9,21.4,20.3,19.6,21.6,20.5,19.8,18.5,19.5,18.4,17.1,17.9,17.4,16.9,17.1,1.1%,--1.5%,0.1%
Finland,9.6,10.9,11.4,12.5,13.8,15.2,15.6,16.5,18.2,17.4,17.6,18.8,19.7,20.5,22.2,22.1,22.1,21.8,21.5,22.5,23.6,23.9,25.1,25.0,25.1,26.6,27.2,27.0,27.4,28.9,27.6,29.0,29.1,29.9,29.6,29.7,30.5,30.9,33.2,32.9,30.0,32.2,32.2,31.1,28.9,31.6,29.1,28.1,27.7,26.7,26.7,27.1,1.4%,--1.2%,0.2%
France,110.4,112.8,120.3,126.8,139.9,151.6,157.7,168.6,183.2,179.8,169.0,180.4,181.9,189.8,195.8,192.5,189.8,182.6,186.8,193.0,198.2,202.7,206.6,208.0,212.2,217.4,231.7,233.1,233.2,230.3,235.9,244.6,241.3,247.2,251.9,254.9,258.7,256.7,259.5,263.0,262.5,261.2,257.5,259.1,245.4,253.4,244.7,244.8,247.2,237.6,239.4,235.9,--1.7%,--0.9%,1.8%
Germany,253.4,253.8,252.9,270.1,291.3,307.2,309.5,320.4,338.7,332.7,319.3,340.7,339.9,351.3,370.9,358.5,347.1,334.5,339.2,351.3,361.3,358.3,361.0,361.8,358.2,352.4,343.5,336.2,334.6,331.4,333.2,344.2,339.4,336.7,331.7,333.6,339.9,335.9,335.9,335.9,332.3,341.3,327.2,330.7,310.2,323.6,312.1,316.4,325.5,312.1,317.8,322.5,1.2%,--0.4%,2.4%
