Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
US,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.8,0.9,0.9,0.8,1.0,1.3,1.4,1.2,1.5,2.0,2.5,2.7,2.8,2.8,11.6,13.7,14.5,15.4,15.9,15.9,15.2,15.5,15.8,15.7,16.2,16.5,16.8,18.7,18.8,19.7,20.7,22.8,24.8,29.7,33.9,39.3,45.7,51.7,60.2,67.2,71.5,83.8,16.9%,13.2%,20.0%
Canada,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.8,0.9,0.9,1.0,1.1,1.3,1.5,1.6,1.8,1.9,2.0,2.0,2.2,2.3,2.2,2.3,2.3,2.5,2.6,2.6,3.4,4.2,4.8,5.6,6.4,7.0,8.5,9.2,8.1%,13.8%,2.2%
Mexico,-,-,-,-,-,-,-,-,^,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.4,1.5,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.6,1.6,1.8,1.7,1.9,1.8,1.8,2.0,2.0,2.3,2.6,3.1,3.7,4.1,10.4%,7.2%,1.0%
Total North America,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.7,0.9,1.2,1.3,1.2,1.6,1.8,2.1,2.0,2.3,2.9,3.2,3.8,4.4,4.4,13.4,15.8,16.7,17.9,18.5,18.6,18.2,18.6,18.9,19.0,19.5,19.9,20.4,22.4,22.6,23.6,24.8,27.0,29.4,34.1,39.2,45.5,52.5,59.6,69.3,77.2,83.6,97.1,15.7%,12.9%,23.1%
Argentina,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.8,0.6,0.7,5.0%,8.4%,0.2%
Brazil,-,-,-,-,-,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.1,1.1,1.2,1.3,1.5,1.7,1.7,1.9,1.8,2.0,2.3,2.7,2.8,3.1,3.4,4.2,4.7,5.4,7.6,7.9,9.1,10.6,13.3,16.0,19.0,18.4%,17.8%,4.5%
Chile,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.5,0.4,0.4,0.5,0.4,0.3,0.6,0.7,1.0,0.6,1.1,1.2,1.4,1.6,1.9,2.3,19.9%,16.7%,0.5%
Colombia,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,15.4%,12.8%,0.1%
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,12.6%,18.1%,♦
Peru,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.6,29.9%,18.5%,0.1%
Trinidad & Tobago,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,♦,--14.1%,♦
Venezuela,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,♦,♦,♦
Other S. & Cent. America,-,-,-,-,-,-,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.9,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.4,1.6,1.8,2.0,2.2,2.7,3.0,3.6,4.5,5.1,11.9%,14.5%,1.2%
Total S. & Cent. America,-,-,-,-,-,0.1,0.5,0.5,0.5,0.5,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.6,1.9,1.9,2.3,2.2,2.4,2.5,2.9,3.1,2.9,3.3,3.3,3.9,4.3,4.7,4.9,5.2,5.7,6.9,7.7,9.0,11.1,12.3,14.1,16.4,20.2,24.0,28.2,17.1%,16.6%,6.7%
Austria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1.2,1.4,1.4,1.4,1.5,1.5,1.7,1.9,2.0,2.3,2.4,6.0%,10.5%,0.6%
Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,^,^,^,^,66.3%,♦,♦
Belarus,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,0.1,100.5%,65.2%,♦
Belgium,-,-,-,-,-,-,-,-,^,^,^,^,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.2,1.4,1.9,2.3,2.6,2.7,3.2,3.2,--1.7%,22.8%,0.8%
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,-,-,-,^,^,^,^,^,0.1,0.2,0.2,0.5,0.6,0.6,0.7,0.7,1.5%,90.3%,0.2%
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,1.2,1.3,1.5,1.6,1.7,1.7,--3.5%,27.5%,0.4%
Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0.9,1.0,1.3,1.3,1.5,1.8,2.1,2.2,2.1,2.3,2.3,2.3,2.8,3.2,3.4,3.6,4.1,4.3,4.1,--5.7%,6.8%,1.0%
Finland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.1,1.1,1.1,1.3,1.4,1.4,1.5,1.7,1.9,2.0,2.0,1.9,2.0,2.1,2.4,2.2,2.5,2.3,2.4,2.0,2.5,2.6,2.6,2.9,2.9,3.1,3.4,8.6%,3.5%,0.8%
France,-,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.1,1.4,1.9,2.3,2.8,3.4,4.4,5.5,5.8,6.5,7.9,8.2,2.9%,21.8%,1.9%
Germany,-,-,-,-,-,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.8,0.9,1.2,1.8,2.1,3.2,3.6,5.0,6.3,8.3,9.7,11.7,15.2,16.5,17.2,18.9,23.8,27.2,29.0,32.1,38.1,37.9,--0.9%,14.7%,9.0%
Greece,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.9,1.3,1.8,1.7,2.0,2.1,4.7%,20.2%,0.5%
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,0.2,0.4,0.3,0.3,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,15.8%,6.3%,0.2%
Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.7,1.1,1.0,1.1,1.3,1.6,1.5,--5.8%,19.0%,0.4%
Italy,0.6,0.8,0.8,0.8,0.9,1.0,1.0,0.9,0.9,1.0,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.9,0.9,0.7,0.8,0.8,0.9,1.0,0.9,1.0,1.1,1.1,1.3,1.5,1.6,1.9,2.2,2.6,2.9,3.1,3.5,3.8,4.1,4.6,5.8,8.4,11.4,13.4,14.1,14.3,15.0,4.3%,16.4%,3.6%
Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,-,^,^,^,^,0.1,95.1%,♦,♦
Lithuania,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,20.0%,65.2%,0.1%
Netherlands,-,-,-,-,-,-,-,-,-,-,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,^,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.9,0.9,1.2,1.7,1.8,1.7,2.1,2.4,2.5,2.8,2.8,2.7,2.6,3.1,3.1,0.8%,6.3%,0.7%
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.5,--14.6%,12.5%,0.1%
Poland,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,0.1,^,0.1,0.1,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.7,1.0,1.4,1.8,2.4,3.4,3.3,4.0,4.7,4.6,--1.8%,28.9%,1.1%
Portugal,^,^,^,0.1,0.1,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.8,1.1,1.4,1.8,2.3,2.8,2.8,3.1,3.6,3.6,3.6,3.7,4.4%,16.2%,0.9%
Romania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,-,^,^,-,-,-,^,^,-,-,-,^,^,^,^,^,^,^,^,0.1,0.4,0.6,1.2,1.5,2.2,2.0,--6.0%,109.1%,0.5%
Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,6.9%,4.0%,♦
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.5,0.5,0.5,1.8%,49.5%,0.1%
Spain,-,-,-,-,-,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.8,1.2,1.5,2.0,2.9,3.6,4.4,5.6,6.2,7.2,8.7,10.7,12.5,12.6,15.0,16.3,16.1,15.6,15.5,--0.9%,10.8%,3.7%
Sweden,-,-,-,-,-,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.7,1.0,1.0,1.1,1.2,1.8,1.9,2.1,2.5,2.8,3.2,3.6,4.0,4.4,4.8,5.0,6.1,6.1,--0.8%,12.4%,1.5%
Switzerland,-,-,-,-,-,-,-,-,-,-,-,-,-,^,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,17.6%,10.3%,0.2%
Turkey,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,-,-,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.9,1.3,1.7,2.3,2.8,3.9,5.2,33.8%,51.0%,1.2%
Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,^,27.0%,♦,♦
