Country or Area,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
Afghanistan,623.184798424718,667.883419646451,704.322177805974,717.563696375135,665.429432889878,574.98755509538,462.104004116773,405.917512997507,401.126367957735,298.378992576919,271.387210637467,237.745521604687,219.285961234938,199.430095534059,176.342946511791,179.265054680216,142.868587567222,157.305632451244,167.254574694092,178.720693022912,192.952496971175,133.245393656551,179.731065260527,252.778519923151,261.162118267094,300.110130470131,287.913416967414,234.208362096279,254.676072557459,290.288906034205,285.61975605267,282.093854590616,276.847683921077,271.483723239147,267.662424088186,275.649827832423,278.390625976252,249.573709439734,226.196425852157,199.164809623091,188.085135877603,175.027097879164,144.173945269505,136.175611851933,160.443152657631,157.258460821176
Albania,3984.23430170379,4594.96620955242,4432.80861855789,4276.71081325832,4466.67659603595,4110.07207542044,4110.81195313497,4340.04016749634,3546.28286582432,2916.03777706822,2612.46916606049,2312.3678988059,1784.20890960289,1394.71971825315,1256.96885352554,1117.11255636125,1034.29350721549,823.381508995606,719.377559619663,1034.80169485518,770.188332312089,598.90799788538,533.150652504789,467.840901115265,487.590420578148,654.227206445089,903.778326673495,769.581082444567,761.915670039093,788.255349586022,783.47554263992,784.306653101034,811.006918014266,817.850524523131,809.948187637705,798.821835112313,903.29157892848,1105.15055370755,1096.46149049057,1089.84468761996,1082.48132757196,1075.7054547721,1069.62035143987,1063.7508966467,1058.37535185555,1053.4618009283
Algeria,4154.11831853941,5495.99905835606,5493.70859916654,5583.61855994264,5447.40522032441,4473.48744799509,3875.82120623869,4912.25194081996,3939.55993939808,3467.54394455804,3102.03699042669,2600.23563286016,2094.89397882203,1776.13390206737,1742.83556030151,1753.06235261479,1577.39591145565,1584.8369369008,1608.30139780031,1592.42985448795,1452.08458325861,1492.51423590656,1829.94934255298,1806.61845839996,1753.57827287978,2383.08538567992,2191.19478344875,2385.1914636699,2689.76824509055,2707.37303185226,2564.31991477263,2412.90980658247,2294.2124142379,2191.65523304553,2219.48015487701,2184.96240436444,1769.72741187172,1448.12662294118,1186.58681788786,1032.56479361985,930.962705622646,816.130511922058,583.989638849454,466.695977618907,358.5318424699,354.303021731019
Andorra,39896.3769360088,46033.5741227986,43236.8459967732,39899.1528090767,41812.7558532931,39748.1086152139,42823.6681423613,46807.8583857533,47323.9965623522,42496.6752246722,40083.5736585471,37476.3761599383,32073.5073907238,24395.4018397958,22087.9350244254,21933.4944269715,24451.0065617732,24003.1896695525,23288.7132298526,24090.2714686465,23357.9100485124,20532.3929749351,20889.0941277437,25992.0215078161,24712.8650757509,23885.2008638693,19191.0754773679,18100.7410987833,15962.142415876,13111.5111276279,9837.9376260308,9780.10699632791,10152.1407545065,12161.3409692759,13124.3661267911,15661.8322698391,14955.6946801765,11549.3963286329,9807.74930181788,9049.06599403639,9070.35488872123,7998.08457544527,6760.78750890634,5336.3827321831,4425.99732462686,4097.23573909176
Angola,4714.06595591947,6014.3239396983,5830.29316692715,5644.67031104241,5094.71506391875,3949.08862337043,3430.06209645872,4462.12805634796,3402.14748178262,2825.26103195128,2063.91993446256,1361.74414445038,1067.17890423373,948.844254256795,767.767264346076,810.654643141422,563.429655630996,607.412187292867,740.971501573319,649.973598711519,509.269306940677,1095.84019662197,1099.72805287827,1568.57868885204,1410.62567878131,1227.71497425145,1142.87821990848,1007.83200530802,957.034236227543,852.830209610256,934.718304722258,782.81283631389,764.079068109707,759.92153142269,787.603745272941,870.83610481952,676.50387095553,627.885755309436,579.128062096675,545.36646911893,583.542745462843,812.704325956382,743.128378602255,622.704067430314,622.501779004094,604.18995182727
Anguilla,21879.5776753899,21531.4276932534,19719.7617197617,19819.6498345087,20952.6235894823,19460.3159231282,20816.719748265,26511.479680204,27027.5981573053,22030.7651680201,18130.4751772426,16299.9573873014,14121.082739564,13464.8460142345,13624.326991665,13545.2316194797,13642.7770059584,13147.2266301389,11904.212086905,10885.5526111424,10577.7989644585,10772.5217796413,9939.56999304506,9405.09625339784,8966.32334341725,9071.48552560239,8552.08464678588,7225.83069341781,6075.96209852531,5094.36765837463,4040.25217652357,3301.17392312172,2849.80203853846,2450.65544366288,2102.8962049843,1809.8729305597,1564.28570640633,1356.25822186907,1179.11450981695,1059.72349121893,1111.83219716676,1023.30046601735,935.156154576711,832.577224542354,711.168028738046,609.746807737814
Antigua and Barbuda,14764.4895094402,14019.0353827975,13289.827386869,13652.8507985694,12953.3695460366,13159.4949880928,14110.3090639887,15931.2658638721,15431.6968700397,13766.2249485159,12293.0984746025,11181.2619097474,10508.9810786263,10118.1367635285,10079.2245821773,10630.0937421297,10076.1287989374,9808.64859684901,9422.65370739551,9021.71894137714,8446.0742171307,8856.94379608759,8250.30859153972,7870.87593520941,7718.16865702464,7422.04404886261,7081.10427354105,6374.32805298823,5311.17859384808,4495.62945191147,3723.21215060887,3169.53261533672,2755.54065528491,2444.17516719039,2180.62620469932,1912.4851656396,1597.13191186452,1297.77582895768,1150.95674045804,1017.46692448582,1233.39915072742,1216.65574625967,1152.83247577774,839.304951217941,620.399425872474,518.071608607552
Argentina,14564.5012685773,13278.7938786179,14473.6521427406,13887.0206515539,12800.0786041859,10401.7864543771,8281.86019318336,9094.2241309418,7282.18021775602,5951.24310398943,5144.59863952449,4284.86926257403,3666.04187803263,2918.58580020546,7774.82743293372,8315.41858709862,8388.17149800123,8943.73596917798,8861.21809329518,8329.57112042495,7992.65266564161,8081.08314034356,7521.73013970151,7366.76042564452,6193.58970932386,4680.32203135055,2573.93980162016,4324.88963334464,3764.20728970783,3718.24684680958,3143.5914014687,3325.10181075378,3197.80981953188,3001.83378126421,2964.78428827717,2911.60292091822,2672.49937109362,2341.27963288877,2294.10182901475,2061.20063638818,1984.91033193458,1857.59106051975,1644.69045312576,1529.59142864371,1668.49813672866,1417.63513371876
Armenia,3489.12764155997,3861.91567067933,3716.82847547985,3565.51779122816,3644.14956773767,3332.34051238297,3109.24509368449,4180.35057313722,3285.6165981225,2267.87461349525,1733.37171454561,1260.47567157734,985.881529304288,831.62331354318,738.261970852397,662.701514328493,636.125512998202,648.210764737852,556.949907925714,536.656012043094,425.697607139322,382.610691511835,347.271446963741,363.365398173936,599.121442632568,650.435561437665,,,,,,,,,,,,,,,,,,,,
Aruba,26005.4094047843,25615.7681228049,25082.9689354948,24754.0053666596,25012.9558781104,23529.2655619368,24639.9254709735,27088.9798568022,25836.1536375218,24046.2263769373,23302.8319880055,22566.6255799635,20834.9800022285,20433.6514976825,20671.5789174253,20619.5658496388,19356.4208651472,19081.570288414,17927.4120263906,16586.1922970903,16441.3812596351,17342.4719395745,14938.0632268646,14046.5039935517,13495.7945425972,12307.5097721316,11392.4558121722,9765.10973463939,7885.54148203929,6472.50203241229,6107.48913403035,5816.56801445467,5577.85247243796,5369.79613819894,5163.43102375291,4940.52872945187,4699.71550089782,4452.36002057445,4208.81906219362,3981.10309309054,3775.50591333253,3592.12562332846,3426.51876171834,3274.30040648855,3130.08251779564,2990.43466458456
Australia,51352.1972220032,61436.5431594243,65737.7119927311,68889.8562727094,68227.6039800627,58349.8932423591,46456.6426680965,49395.371027901,46990.2404148649,39705.9353247065,37573.8386010515,33925.2561606256,28305.127814026,22293.3450476437,20180.6351164419,21398.413205563,22546.7458248507,20826.2464687321,23600.0175578396,23776.7017465455,21633.5561519801,20204.591998484,17887.9984323001,18590.7982958461,19014.6893115604,18939.5443926202,18964.4878992441,17325.4396642533,13907.2053982847,11902.5975870172,11506.4203666186,13257.9915611444,12546.1877919399,12696.1526756536,13537.4569281016,11770.3878108703,10330.905452955,9437.82470041645,8177.94190392369,8345.66074402458,7835.31109690598,7434.93707403744,6317.85872550893,4434.91517493593,3829.46205884341,3496.49642650046
Austria,44117.6911494585,51471.2342503221,50459.5661539636,48187.8885229347,50933.027419219,46498.1550839404,47548.5183674158,51326.7916323675,46551.6945589122,40425.3535801409,38208.4500453201,36584.6072726772,31967.6919485854,26246.2475768205,24378.6192316753,24397.5140466047,26978.7415844336,27131.2304998746,26489.4085792105,29590.1119676171,30161.6433544772,25606.2892887846,24116.714083574,24906.1897024323,22355.6189668473,21548.7271521648,17312.9954490639,17404.3348271618,16248.5229011092,12981.7896820018,9107.44345786483,8931.54740734082,9479.41644088886,9369.01595071474,9333.99980195888,10774.6154533735,9698.10049009087,8127.42441612486,6743.41074496175,5616.33116056286,5238.7526362195,4608.32130422762,3874.71383526968,2905.73341929639,2361.74767943944,2042.14942359144
Azerbaijan,5438.71106141704,7813.23615929342,7808.43213924292,7443.26066387912,7147.40484204616,5813.91439203892,4932.07148839105,5508.27598386769,3771.31951531882,2422.25786750068,1546.7483679766,1025.28921210149,869.184947554966,753.09111380243,696.420703157235,649.517710225968,569.237593212053,556.876317172876,500.18213003875,404.538765546586,396.475926469517,446.386680200068,551.767093694599,711.770487054007,913.614944391012,904.753284734265,,,,,,,,,,,,,,,,,,,,
