County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,2,NO2,0.077174389,37.687526,-121.784217
Contra Costa,2,NO2,0.044031337,37.936013,-122.026154
Fresno,2,NO2,0.07412613,36.705506,-119.741966
Humboldt,2,NO2,0.020394777,40.776944,-124.1775
Imperial,2,NO2,0.048286861,32.676186,-115.484144
Los Angeles,2,NO2,0.109859285,34.1365,-117.92391
Orange,2,NO2,0.104729277,33.83062,-117.93845
Riverside,2,NO2,0.056129955,33.447867,-117.088649
Sacramento,2,NO2,0.048991339,38.71209,-121.38109
San Bernardino,2,NO2,0.144965925,34.895007,-117.024484
San Diego,2,NO2,0.065903364,32.631231,-117.059075
Santa Barbara,2,NO2,0.018703315,34.46245,-120.02551
Santa Clara,2,NO2,0.103989681,37.348497,-121.894898
Solano,2,NO2,0.043208293,38.102507,-122.237976
