County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,4,Ozone,0.292467622,37.687526,-121.784217
Contra Costa,4,Ozone,0.279644152,37.936013,-122.026154
Fresno,4,Ozone,0.306651146,36.705506,-119.741966
Humboldt,4,Ozone,0.348864616,40.776944,-124.1775
Imperial,4,Ozone,0.306380729,32.676186,-115.484144
Los Angeles,4,Ozone,0.29388131,34.1365,-117.92391
Orange,4,Ozone,0.307175698,33.83062,-117.93845
Riverside,4,Ozone,0.40219768,33.7411,-115.8206
Sacramento,4,Ozone,0.270180104,38.71209,-121.38109
San Bernardino,4,Ozone,0.412241898,34.895007,-117.024484
San Diego,4,Ozone,0.441054658,32.631231,-117.059075
Santa Barbara,4,Ozone,0.403647317,34.46245,-120.02551
Santa Clara,4,Ozone,0.274224806,36.999571,-121.574684
Solano,4,Ozone,0.288252293,38.102507,-122.237976
