County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,2,SO2,0.012040712,37.814781,-122.282347
Contra Costa,2,SO2,0.017010601,37.936013,-122.026154
Fresno,2,SO2,0.009090274,36.785322,-119.774174
Humboldt,2,SO2,0.001608358,40.776944,-124.1775
Imperial,2,SO2,0.011820065,32.676186,-115.484144
Los Angeles,2,SO2,0.0062907,34.06659,-118.22688
Orange,2,SO2,0.000598626,33.67464,-117.92568
Riverside,2,SO2,0.00216358,33.99958,-117.41601
Sacramento,2,SO2,0.031300071,38.613779,-121.368014
San Bernardino,2,SO2,0.007965515,34.510014,-117.331433
San Diego,2,SO2,0.001225501,32.817978,-116.968133
Santa Barbara,2,SO2,0.00382744,34.46245,-120.02551
Santa Clara,2,SO2,0.002319939,37.348497,-121.894898
Solano,2,SO2,0.008564181,38.102507,-122.237976
