"","Latitude","Longitude","County","Dayofweek","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego","Sun","NO2",0.0557890070921986
"2",32.579361,-116.929486,"San Diego","Sun","Ozone",0.517598704695479
"3",32.579361,-116.929486,"San Diego","Mon","NO2",0.0717418772563177
"4",32.579361,-116.929486,"San Diego","Mon","Ozone",0.490836053226211
"5",32.579361,-116.929486,"San Diego","Tues","NO2",0.081044912923923
"6",32.579361,-116.929486,"San Diego","Tues","Ozone",0.475291286727457
"7",32.579361,-116.929486,"San Diego","Wed","NO2",0.0864986498649865
"8",32.579361,-116.929486,"San Diego","Wed","Ozone",0.477710767684382
"9",32.579361,-116.929486,"San Diego","Thurs","NO2",0.0914156898106402
"10",32.579361,-116.929486,"San Diego","Thurs","Ozone",0.47846975088968
"11",32.579361,-116.929486,"San Diego","Fri","NO2",0.0893598615916955
"12",32.579361,-116.929486,"San Diego","Fri","Ozone",0.489116233205966
"13",32.579361,-116.929486,"San Diego","Sat","NO2",0.0704861111111111
"14",32.579361,-116.929486,"San Diego","Sat","Ozone",0.506496830814237
"15",32.631231,-117.059075,"San Diego","Sun","NO2",0.0679965156794425
"16",32.631231,-117.059075,"San Diego","Sun","Ozone",0.434494773519164
"17",32.631231,-117.059075,"San Diego","Mon","NO2",0.0856176735798016
"18",32.631231,-117.059075,"San Diego","Mon","Ozone",0.41000506585613
"19",32.631231,-117.059075,"San Diego","Tues","NO2",0.100488021295475
"20",32.631231,-117.059075,"San Diego","Tues","Ozone",0.385058051489147
"21",32.631231,-117.059075,"San Diego","Wed","NO2",0.104032403240324
"22",32.631231,-117.059075,"San Diego","Wed","Ozone",0.390247619047619
"23",32.631231,-117.059075,"San Diego","Thurs","NO2",0.102914027149321
"24",32.631231,-117.059075,"San Diego","Thurs","Ozone",0.399694695331383
"25",32.631231,-117.059075,"San Diego","Fri","NO2",0.09736568457539
"26",32.631231,-117.059075,"San Diego","Fri","Ozone",0.415422639644093
"27",32.631231,-117.059075,"San Diego","Sat","NO2",0.0800428449014567
"28",32.631231,-117.059075,"San Diego","Sat","Ozone",0.427298322928143
"29",32.676186,-115.484144,"Imperial","Sun","CO",0.0088043356473024
"30",32.676186,-115.484144,"Imperial","Sun","NO2",0.0897342954159593
"31",32.676186,-115.484144,"Imperial","Sun","Ozone",0.476878398418191
"32",32.676186,-115.484144,"Imperial","Sun","SO2",0.00828837998303647
"33",32.676186,-115.484144,"Imperial","Mon","CO",0.00931699070160609
"34",32.676186,-115.484144,"Imperial","Mon","NO2",0.104621553884712
"35",32.676186,-115.484144,"Imperial","Mon","Ozone",0.485967450271248
"36",32.676186,-115.484144,"Imperial","Mon","SO2",0.00844035674470457
"37",32.676186,-115.484144,"Imperial","Tues","CO",0.0104833414043584
"38",32.676186,-115.484144,"Imperial","Tues","NO2",0.122417796610169
"39",32.676186,-115.484144,"Imperial","Tues","Ozone",0.446636177638705
"40",32.676186,-115.484144,"Imperial","Tues","SO2",0.00999325463743676
"41",32.676186,-115.484144,"Imperial","Wed","CO",0.00980899067005937
"42",32.676186,-115.484144,"Imperial","Wed","NO2",0.123512403763901
"43",32.676186,-115.484144,"Imperial","Wed","Ozone",0.427482762791823
"44",32.676186,-115.484144,"Imperial","Wed","SO2",0.00943050847457627
"45",32.676186,-115.484144,"Imperial","Thurs","CO",0.0105433397683398
"46",32.676186,-115.484144,"Imperial","Thurs","NO2",0.123273037542662
"47",32.676186,-115.484144,"Imperial","Thurs","Ozone",0.434138389083444
"48",32.676186,-115.484144,"Imperial","Thurs","SO2",0.008793867120954
"49",32.676186,-115.484144,"Imperial","Fri","CO",0.0112115785772882
"50",32.676186,-115.484144,"Imperial","Fri","NO2",0.128786710418376
"51",32.676186,-115.484144,"Imperial","Fri","Ozone",0.428583244712277
"52",32.676186,-115.484144,"Imperial","Fri","SO2",0.0109062072737216
"53",32.676186,-115.484144,"Imperial","Sat","CO",0.00992167568839727
"54",32.676186,-115.484144,"Imperial","Sat","NO2",0.112183017312448
"55",32.676186,-115.484144,"Imperial","Sat","Ozone",0.449314574314574
"56",32.676186,-115.484144,"Imperial","Sat","SO2",0.00979939543830723
"57",32.701492,-117.149653,"San Diego","Sun","CO",0.00703153988868275
"58",32.701492,-117.149653,"San Diego","Sun","NO2",0.0936257928118393
"59",32.701492,-117.149653,"San Diego","Sun","Ozone",0.444986408939897
"60",32.701492,-117.149653,"San Diego","Mon","CO",0.00778425655976676
"61",32.701492,-117.149653,"San Diego","Mon","NO2",0.116795580110497
"62",32.701492,-117.149653,"San Diego","Mon","Ozone",0.408918792051322
"63",32.701492,-117.149653,"San Diego","Tues","CO",0.00777220514479858
"64",32.701492,-117.149653,"San Diego","Tues","NO2",0.122541436464088
"65",32.701492,-117.149653,"San Diego","Tues","Ozone",0.395606826801517
