County,Hour,Pollutant,Sample,Latitude,Longitude
Alameda,0,CO,0.011827932,37.743065,-122.169935
Alameda,0,NO2,0.095704558,37.687526,-121.784217
Alameda,0,Ozone,0.305085653,37.687526,-121.784217
Alameda,0,SO2,0.008657005,37.814781,-122.282347
Alameda,1,CO,0.011353022,37.743065,-122.169935
Alameda,1,NO2,0.090570815,37.687526,-121.784217
Alameda,1,Ozone,0.303372164,37.687526,-121.784217
Alameda,1,SO2,0.008525604,37.814781,-122.282347
Alameda,2,CO,0.010283341,37.743065,-122.169935
Alameda,2,NO2,0.087010396,37.687526,-121.784217
Alameda,2,Ozone,0.304417234,37.687526,-121.784217
Alameda,2,SO2,0.008506849,37.814781,-122.282347
Alameda,3,CO,0.014473684,37.743065,-122.169935
Alameda,3,NO2,0.10950566,37.743065,-122.169935
Alameda,3,Ozone,0.250459184,37.743065,-122.169935
Alameda,4,CO,0.011746544,37.743065,-122.169935
Alameda,4,NO2,0.10849676,37.687526,-121.784217
Alameda,4,Ozone,0.27149792,37.687526,-121.784217
Alameda,4,SO2,0.009150327,37.814781,-122.282347
Alameda,5,CO,0.013217189,37.743065,-122.169935
Alameda,5,NO2,0.123680239,37.687526,-121.784217
Alameda,5,Ozone,0.260204635,37.687526,-121.784217
Alameda,5,SO2,0.010091351,37.814781,-122.282347
Alameda,6,CO,0.014667598,37.743065,-122.169935
Alameda,6,NO2,0.134344565,37.687526,-121.784217
Alameda,6,Ozone,0.261027637,37.687526,-121.784217
Alameda,6,SO2,0.010662734,37.814781,-122.282347
Alameda,7,CO,0.015520919,37.743065,-122.169935
Alameda,7,NO2,0.137971662,37.687526,-121.784217
Alameda,7,Ozone,0.273461598,37.687526,-121.784217
Alameda,7,SO2,0.012181269,37.814781,-122.282347
Alameda,8,CO,0.014678687,37.743065,-122.169935
Alameda,8,NO2,0.134040739,37.687526,-121.784217
Alameda,8,Ozone,0.300903964,37.687526,-121.784217
Alameda,8,SO2,0.014254902,37.814781,-122.282347
Alameda,9,CO,0.013070449,37.743065,-122.169935
Alameda,9,NO2,0.121379967,37.687526,-121.784217
Alameda,9,Ozone,0.341741556,37.687526,-121.784217
Alameda,9,SO2,0.01656696,37.814781,-122.282347
Alameda,10,CO,0.01213077,37.743065,-122.169935
Alameda,10,NO2,0.1089869,37.687526,-121.784217
Alameda,10,Ozone,0.389334371,37.687526,-121.784217
Alameda,10,SO2,0.016599034,37.814781,-122.282347
Alameda,11,CO,0.01151627,37.743065,-122.169935
Alameda,11,NO2,0.097900979,37.687526,-121.784217
Alameda,11,Ozone,0.436105728,37.687526,-121.784217
Alameda,11,SO2,0.014435453,37.814781,-122.282347
Alameda,12,CO,0.011237481,37.743065,-122.169935
Alameda,12,NO2,0.090547722,37.687526,-121.784217
Alameda,12,Ozone,0.474141929,37.687526,-121.784217
Alameda,12,SO2,0.0136561,37.814781,-122.282347
Alameda,13,CO,0.011061093,37.743065,-122.169935
Alameda,13,NO2,0.087982181,37.687526,-121.784217
Alameda,13,Ozone,0.496028325,37.687526,-121.784217
Alameda,13,SO2,0.013768786,37.814781,-122.282347
Alameda,14,CO,0.011100217,37.743065,-122.169935
Alameda,14,NO2,0.088003757,37.687526,-121.784217
Alameda,14,Ozone,0.497689188,37.687526,-121.784217
Alameda,14,SO2,0.012383142,37.814781,-122.282347
Alameda,15,CO,0.01125728,37.743065,-122.169935
Alameda,15,NO2,0.091600322,37.687526,-121.784217
Alameda,15,Ozone,0.482573727,37.687526,-121.784217
Alameda,15,SO2,0.013329502,37.814781,-122.282347
Alameda,16,CO,0.011524342,37.743065,-122.169935
Alameda,16,NO2,0.097312969,37.687526,-121.784217
Alameda,16,Ozone,0.451258704,37.687526,-121.784217
Alameda,16,SO2,0.011475915,37.814781,-122.282347
Alameda,17,CO,0.011941626,37.743065,-122.169935
Alameda,17,NO2,0.109548767,37.687526,-121.784217
Alameda,17,Ozone,0.406687581,37.687526,-121.784217
Alameda,17,SO2,0.011668593,37.814781,-122.282347
Alameda,18,CO,0.012557714,37.743065,-122.169935
Alameda,18,NO2,0.120415459,37.687526,-121.784217
Alameda,18,Ozone,0.363967828,37.687526,-121.784217
Alameda,18,SO2,0.010562319,37.814781,-122.282347
Alameda,19,CO,0.013064811,37.743065,-122.169935
Alameda,19,NO2,0.123408262,37.687526,-121.784217
Alameda,19,Ozone,0.336667943,37.687526,-121.784217
Alameda,19,SO2,0.009155556,37.814781,-122.282347
Alameda,20,CO,0.013276236,37.743065,-122.169935
Alameda,20,NO2,0.122389485,37.687526,-121.784217
Alameda,20,Ozone,0.320823764,37.687526,-121.784217
Alameda,20,SO2,0.00872657,37.814781,-122.282347
Alameda,21,CO,0.013286171,37.743065,-122.169935
Alameda,21,NO2,0.118657189,37.687526,-121.784217
Alameda,21,Ozone,0.311753003,37.687526,-121.784217
Alameda,21,SO2,0.008591304,37.814781,-122.282347
Alameda,22,CO,0.013064811,37.743065,-122.169935
Alameda,22,NO2,0.112859442,37.687526,-121.784217
Alameda,22,Ozone,0.306588109,37.687526,-121.784217
Alameda,22,SO2,0.008622222,37.814781,-122.282347
Alameda,23,CO,0.012465456,37.743065,-122.169935
Alameda,23,NO2,0.104232421,37.687526,-121.784217
Alameda,23,Ozone,0.305761726,37.687526,-121.784217
Alameda,23,SO2,0.008923671,37.814781,-122.282347
Contra Costa,0,CO,0.008898183,37.936013,-122.026154
Contra Costa,0,NO2,0.059874906,37.936013,-122.026154
Contra Costa,0,Ozone,0.278074581,37.936013,-122.026154
Contra Costa,0,SO2,0.013056373,37.936013,-122.026154
Contra Costa,1,CO,0.008668237,37.936013,-122.026154
Contra Costa,1,NO2,0.056667916,37.936013,-122.026154
Contra Costa,1,Ozone,0.27186698,37.936013,-122.026154
Contra Costa,1,SO2,0.01282674,37.936013,-122.026154
Contra Costa,2,CO,0.008351178,37.936013,-122.026154
Contra Costa,2,NO2,0.054720665,37.936013,-122.026154
Contra Costa,2,Ozone,0.266691664,37.936013,-122.026154
Contra Costa,2,SO2,0.012908504,37.936013,-122.026154
Contra Costa,3,CO,0.008908607,37.936013,-122.026154
Contra Costa,3,NO2,0.050005155,37.936013,-122.026154
Contra Costa,3,Ozone,0.266739927,37.936013,-122.026154
