"","Latitude","Longitude","County","Hour","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego","00","NO2",0.0841274238227147
"2",32.579361,-116.929486,"San Diego","00","Ozone",0.38391881342701
"3",32.579361,-116.929486,"San Diego","01","NO2",0.073419689119171
"4",32.579361,-116.929486,"San Diego","01","Ozone",0.388119533527697
"5",32.579361,-116.929486,"San Diego","02","NO2",0.04
"6",32.579361,-116.929486,"San Diego","02","Ozone",0.44472049689441
"7",32.579361,-116.929486,"San Diego","03","NO2",0.0769109947643979
"8",32.579361,-116.929486,"San Diego","03","Ozone",0.36547619047619
"9",32.579361,-116.929486,"San Diego","04","NO2",0.0788365650969529
"10",32.579361,-116.929486,"San Diego","04","Ozone",0.354215456674473
"11",32.579361,-116.929486,"San Diego","05","NO2",0.0900831024930748
"12",32.579361,-116.929486,"San Diego","05","Ozone",0.336416861826698
"13",32.579361,-116.929486,"San Diego","06","NO2",0.107111111111111
"14",32.579361,-116.929486,"San Diego","06","Ozone",0.325792563600783
"15",32.579361,-116.929486,"San Diego","07","NO2",0.110532212885154
"16",32.579361,-116.929486,"San Diego","07","Ozone",0.357260596546311
"17",32.579361,-116.929486,"San Diego","08","NO2",0.111723163841808
"18",32.579361,-116.929486,"San Diego","08","Ozone",0.421546961325967
"19",32.579361,-116.929486,"San Diego","09","NO2",0.0996541786743516
"20",32.579361,-116.929486,"San Diego","09","Ozone",0.51812725090036
"21",32.579361,-116.929486,"San Diego","10","NO2",0.0840762463343109
"22",32.579361,-116.929486,"San Diego","10","Ozone",0.604653986240388
"23",32.579361,-116.929486,"San Diego","11","NO2",0.0664347826086956
"24",32.579361,-116.929486,"San Diego","11","Ozone",0.662841091492777
"25",32.579361,-116.929486,"San Diego","12","NO2",0.056140350877193
"26",32.579361,-116.929486,"San Diego","12","Ozone",0.687946428571429
"27",32.579361,-116.929486,"San Diego","13","NO2",0.0492238805970149
"28",32.579361,-116.929486,"San Diego","13","Ozone",0.691404011461318
"29",32.579361,-116.929486,"San Diego","14","NO2",0.0460693641618497
"30",32.579361,-116.929486,"San Diego","14","Ozone",0.67853152434158
"31",32.579361,-116.929486,"San Diego","15","NO2",0.0446820809248555
"32",32.579361,-116.929486,"San Diego","15","Ozone",0.654889336016097
"33",32.579361,-116.929486,"San Diego","16","NO2",0.048268156424581
"34",32.579361,-116.929486,"San Diego","16","Ozone",0.614089481946625
"35",32.579361,-116.929486,"San Diego","17","NO2",0.0523480662983425
"36",32.579361,-116.929486,"San Diego","17","Ozone",0.569001956947162
"37",32.579361,-116.929486,"San Diego","18","NO2",0.0634530386740332
"38",32.579361,-116.929486,"San Diego","18","Ozone",0.517252146760343
"39",32.579361,-116.929486,"San Diego","19","NO2",0.0797790055248619
"40",32.579361,-116.929486,"San Diego","19","Ozone",0.4660031225605
"41",32.579361,-116.929486,"San Diego","20","NO2",0.0917403314917127
"42",32.579361,-116.929486,"San Diego","20","Ozone",0.430327868852459
"43",32.579361,-116.929486,"San Diego","21","NO2",0.0938674033149171
"44",32.579361,-116.929486,"San Diego","21","Ozone",0.408626073380172
"45",32.579361,-116.929486,"San Diego","22","NO2",0.0920165745856354
"46",32.579361,-116.929486,"San Diego","22","Ozone",0.397619047619048
"47",32.579361,-116.929486,"San Diego","23","NO2",0.089171270718232
"48",32.579361,-116.929486,"San Diego","23","Ozone",0.386924277907884
"49",32.631231,-117.059075,"San Diego","00","NO2",0.106712328767123
"50",32.631231,-117.059075,"San Diego","00","Ozone",0.29824355971897
"51",32.631231,-117.059075,"San Diego","01","NO2",0.0928947368421053
"52",32.631231,-117.059075,"San Diego","01","Ozone",0.303759398496241
"53",32.631231,-117.059075,"San Diego","02","NO2",0.0670588235294118
"54",32.631231,-117.059075,"San Diego","02","Ozone",0.278571428571429
"55",32.631231,-117.059075,"San Diego","03","NO2",0.088860103626943
"56",32.631231,-117.059075,"San Diego","03","Ozone",0.282235381199112
"57",32.631231,-117.059075,"San Diego","04","NO2",0.0975136612021858
"58",32.631231,-117.059075,"San Diego","04","Ozone",0.27096018735363
"59",32.631231,-117.059075,"San Diego","05","NO2",0.11775956284153
"60",32.631231,-117.059075,"San Diego","05","Ozone",0.246565183450429
"61",32.631231,-117.059075,"San Diego","06","NO2",0.134093406593407
"62",32.631231,-117.059075,"San Diego","06","Ozone",0.239373776908023
"63",32.631231,-117.059075,"San Diego","07","NO2",0.126638888888889
"64",32.631231,-117.059075,"San Diego","07","Ozone",0.282280978689818
"65",32.631231,-117.059075,"San Diego","08","NO2",0.112687861271676
"66",32.631231,-117.059075,"San Diego","08","Ozone",0.356697693241603
"67",32.631231,-117.059075,"San Diego","09","NO2",0.0928486646884273
"68",32.631231,-117.059075,"San Diego","09","Ozone",0.446708074534161
"69",32.631231,-117.059075,"San Diego","10","NO2",0.0706006006006006
"70",32.631231,-117.059075,"San Diego","10","Ozone",0.526383154417836
"71",32.631231,-117.059075,"San Diego","11","NO2",0.0561492537313433
"72",32.631231,-117.059075,"San Diego","11","Ozone",0.573281185673116
"73",32.631231,-117.059075,"San Diego","12","NO2",0.0451304347826087
"74",32.631231,-117.059075,"San Diego","12","Ozone",0.597842897842898
"75",32.631231,-117.059075,"San Diego","13","NO2",0.0383522727272727
"76",32.631231,-117.059075,"San Diego","13","Ozone",0.60360144057623
"77",32.631231,-117.059075,"San Diego","14","NO2",0.0389136490250696
"78",32.631231,-117.059075,"San Diego","14","Ozone",0.59184804115552
"79",32.631231,-117.059075,"San Diego","15","NO2",0.0419452054794521
"80",32.631231,-117.059075,"San Diego","15","Ozone",0.573463796477495
"81",32.631231,-117.059075,"San Diego","16","NO2",0.0522131147540984
"82",32.631231,-117.059075,"San Diego","16","Ozone",0.544067135050742
"83",32.631231,-117.059075,"San Diego","17","NO2",0.0698360655737705
"84",32.631231,-117.059075,"San Diego","17","Ozone",0.498165495706479
"85",32.631231,-117.059075,"San Diego","18","NO2",0.0923770491803279
"86",32.631231,-117.059075,"San Diego","18","Ozone",0.439344262295082
