County,Hour,Season,Pollutant,Sample,Latitude,Longitude
Alameda,0,1,CO,0.012985075,37.743065,-122.169935
Alameda,0,1,NO2,0.133934066,37.687526,-121.784217
Alameda,0,1,Ozone,0.275313972,37.687526,-121.784217
Alameda,0,1,SO2,0.008791209,37.814781,-122.282347
Alameda,0,2,CO,0.008232804,37.743065,-122.169935
Alameda,0,2,NO2,0.062501104,37.687526,-121.784217
Alameda,0,2,Ozone,0.400503461,37.687526,-121.784217
Alameda,0,2,SO2,0.009703704,37.814781,-122.282347
Alameda,0,3,CO,0.009630819,37.743065,-122.169935
Alameda,0,3,NO2,0.061911275,37.687526,-121.784217
Alameda,0,3,Ozone,0.296693122,37.687526,-121.784217
Alameda,0,3,SO2,0.008276423,37.814781,-122.282347
Alameda,0,4,CO,0.015857941,37.743065,-122.169935
Alameda,0,4,NO2,0.133984221,37.687526,-121.784217
Alameda,0,4,Ozone,0.250280112,37.687526,-121.784217
Alameda,0,4,SO2,0.007739837,37.814781,-122.282347
Alameda,1,1,CO,0.012452026,37.743065,-122.169935
Alameda,1,1,NO2,0.127093407,37.687526,-121.784217
Alameda,1,1,Ozone,0.272919937,37.687526,-121.784217
Alameda,1,1,SO2,0.008556777,37.814781,-122.282347
Alameda,1,2,CO,0.008137566,37.743065,-122.169935
Alameda,1,2,NO2,0.059306843,37.687526,-121.784217
Alameda,1,2,Ozone,0.39562618,37.687526,-121.784217
Alameda,1,2,SO2,0.009792593,37.814781,-122.282347
Alameda,1,3,CO,0.009352113,37.743065,-122.169935
Alameda,1,3,NO2,0.060224074,37.687526,-121.784217
Alameda,1,3,Ozone,0.292698413,37.687526,-121.784217
Alameda,1,3,SO2,0.00796748,37.814781,-122.282347
Alameda,1,4,CO,0.014969819,37.743065,-122.169935
Alameda,1,4,NO2,0.124605523,37.687526,-121.784217
Alameda,1,4,Ozone,0.253896104,37.687526,-121.784217
Alameda,1,4,SO2,0.007658537,37.814781,-122.282347
Alameda,2,1,CO,0.011701245,37.743065,-122.169935
Alameda,2,1,NO2,0.120232143,37.687526,-121.784217
Alameda,2,1,Ozone,0.26497006,37.687526,-121.784217
Alameda,2,1,SO2,0.008588745,37.814781,-122.282347
Alameda,2,2,CO,0.007988338,37.743065,-122.169935
Alameda,2,2,NO2,0.061212048,37.687526,-121.784217
Alameda,2,2,Ozone,0.38688251,37.687526,-121.784217
Alameda,2,2,SO2,0.009748918,37.814781,-122.282347
Alameda,2,3,CO,0.008133739,37.743065,-122.169935
Alameda,2,3,NO2,0.059726601,37.687526,-121.784217
Alameda,2,3,Ozone,0.292652085,37.687526,-121.784217
Alameda,2,3,SO2,0.007820896,37.814781,-122.282347
Alameda,2,4,CO,0.013282172,37.743065,-122.169935
Alameda,2,4,NO2,0.114814136,37.687526,-121.784217
Alameda,2,4,Ozone,0.260867993,37.687526,-121.784217
Alameda,2,4,SO2,0.00771831,37.814781,-122.282347
Alameda,3,1,CO,0.014945055,37.743065,-122.169935
Alameda,3,1,NO2,0.115428571,37.743065,-122.169935
Alameda,3,1,Ozone,0.346560847,37.743065,-122.169935
Alameda,3,2,CO,0.010204082,37.743065,-122.169935
Alameda,3,2,NO2,0.05062963,37.743065,-122.169935
Alameda,3,2,Ozone,0.41957672,37.743065,-122.169935
Alameda,3,3,CO,0.013097595,37.814781,-122.282347
Alameda,3,3,NO2,0.097561404,37.814781,-122.282347
Alameda,3,3,Ozone,0.230559006,37.814781,-122.282347
Alameda,3,4,CO,0.0164,37.814781,-122.282347
Alameda,3,4,NO2,0.135581818,37.814781,-122.282347
Alameda,3,4,Ozone,0.206563707,37.814781,-122.282347
Alameda,4,1,CO,0.011666667,37.743065,-122.169935
Alameda,4,1,NO2,0.127952778,37.687526,-121.784217
Alameda,4,1,Ozone,0.258055556,37.687526,-121.784217
Alameda,4,1,SO2,0.009538462,37.814781,-122.282347
Alameda,4,2,CO,0.009407407,37.743065,-122.169935
Alameda,4,2,NO2,0.089006667,37.687526,-121.784217
Alameda,4,2,Ozone,0.352034059,37.687526,-121.784217
Alameda,4,2,SO2,0.009538462,37.814781,-122.282347
Alameda,4,3,CO,0.010836039,37.743065,-122.169935
Alameda,4,3,NO2,0.090085821,37.687526,-121.784217
Alameda,4,3,Ozone,0.253358209,37.687526,-121.784217
Alameda,4,3,SO2,0.007111111,37.814781,-122.282347
Alameda,4,4,CO,0.014495561,37.743065,-122.169935
Alameda,4,4,NO2,0.131490119,37.687526,-121.784217
Alameda,4,4,Ozone,0.228090523,37.687526,-121.784217
Alameda,4,4,SO2,0.01025641,37.814781,-122.282347
Alameda,5,1,CO,0.013455526,37.743065,-122.169935
Alameda,5,1,NO2,0.146422222,37.687526,-121.784217
Alameda,5,1,Ozone,0.245277778,37.687526,-121.784217
Alameda,5,1,SO2,0.010874074,37.814781,-122.282347
Alameda,5,2,CO,0.010880773,37.743065,-122.169935
Alameda,5,2,NO2,0.104914798,37.687526,-121.784217
Alameda,5,2,Ozone,0.339484569,37.687526,-121.784217
Alameda,5,2,SO2,0.010488889,37.814781,-122.282347
Alameda,5,3,CO,0.011988636,37.743065,-122.169935
Alameda,5,3,NO2,0.104579439,37.687526,-121.784217
Alameda,5,3,Ozone,0.242456609,37.687526,-121.784217
Alameda,5,3,SO2,0.009201646,37.814781,-122.282347
Alameda,5,4,CO,0.016072458,37.743065,-122.169935
Alameda,5,4,NO2,0.144441118,37.687526,-121.784217
Alameda,5,4,Ozone,0.218665903,37.687526,-121.784217
Alameda,5,4,SO2,0.009674797,37.814781,-122.282347
Alameda,6,1,CO,0.016118598,37.743065,-122.169935
Alameda,6,1,NO2,0.168740947,37.687526,-121.784217
Alameda,6,1,Ozone,0.233773509,37.687526,-121.784217
Alameda,6,1,SO2,0.010801498,37.814781,-122.282347
Alameda,6,2,CO,0.011320346,37.743065,-122.169935
Alameda,6,2,NO2,0.106571106,37.687526,-121.784217
Alameda,6,2,Ozone,0.352370275,37.687526,-121.784217
Alameda,6,2,SO2,0.011272727,37.814781,-122.282347
Alameda,6,3,CO,0.01273539,37.743065,-122.169935
Alameda,6,3,NO2,0.109080374,37.687526,-121.784217
Alameda,6,3,Ozone,0.24670947,37.687526,-121.784217
Alameda,6,3,SO2,0.010483333,37.814781,-122.282347
Alameda,6,4,CO,0.01807597,37.743065,-122.169935
Alameda,6,4,NO2,0.161127237,37.687526,-121.784217
Alameda,6,4,Ozone,0.214113597,37.687526,-121.784217
Alameda,6,4,SO2,0.01003252,37.814781,-122.282347
Alameda,7,1,CO,0.017657362,37.743065,-122.169935
Alameda,7,1,NO2,0.180722689,37.687526,-121.784217
Alameda,7,1,Ozone,0.232561852,37.687526,-121.784217
Alameda,7,1,SO2,0.011363636,37.814781,-122.282347
Alameda,7,2,CO,0.010892173,37.743065,-122.169935
Alameda,7,2,NO2,0.098015873,37.687526,-121.784217
Alameda,7,2,Ozone,0.381393099,37.687526,-121.784217
Alameda,7,2,SO2,0.014290196,37.814781,-122.282347
Alameda,7,3,CO,0.012636735,37.743065,-122.169935
Alameda,7,3,NO2,0.107475655,37.687526,-121.784217
Alameda,7,3,Ozone,0.267549492,37.687526,-121.784217
Alameda,7,3,SO2,0.012502165,37.814781,-122.282347
Alameda,7,4,CO,0.020304652,37.743065,-122.169935
Alameda,7,4,NO2,0.175035785,37.687526,-121.784217
Alameda,7,4,Ozone,0.213312339,37.687526,-121.784217
Alameda,7,4,SO2,0.01055144,37.814781,-122.282347
Alameda,8,1,CO,0.016849538,37.743065,-122.169935
Alameda,8,1,NO2,0.177806723,37.687526,-121.784217
Alameda,8,1,Ozone,0.262196578,37.687526,-121.784217
Alameda,8,1,SO2,0.01328839,37.814781,-122.282347
Alameda,8,2,CO,0.0104329,37.743065,-122.169935
Alameda,8,2,NO2,0.092156951,37.687526,-121.784217
Alameda,8,2,Ozone,0.408322704,37.687526,-121.784217
Alameda,8,2,SO2,0.016475096,37.814781,-122.282347
Alameda,8,3,CO,0.012276029,37.743065,-122.169935
Alameda,8,3,NO2,0.104928839,37.687526,-121.784217
Alameda,8,3,Ozone,0.292963753,37.687526,-121.784217
Alameda,8,3,SO2,0.01500813,37.814781,-122.282347
Alameda,8,4,CO,0.018623742,37.743065,-122.169935
Alameda,8,4,NO2,0.170948413,37.687526,-121.784217
Alameda,8,4,Ozone,0.241671372,37.687526,-121.784217
Alameda,8,4,SO2,0.012195122,37.814781,-122.282347
Alameda,9,1,CO,0.013805889,37.743065,-122.169935
Alameda,9,1,NO2,0.155047619,37.687526,-121.784217
Alameda,9,1,Ozone,0.311436597,37.687526,-121.784217
Alameda,9,1,SO2,0.017103448,37.814781,-122.282347
Alameda,9,2,CO,0.009936034,37.743065,-122.169935
Alameda,9,2,NO2,0.086486547,37.687526,-121.784217
Alameda,9,2,Ozone,0.441301587,37.687526,-121.784217
Alameda,9,2,SO2,0.017792593,37.814781,-122.282347
Alameda,9,3,CO,0.012154964,37.743065,-122.169935
Alameda,9,3,NO2,0.100260788,37.687526,-121.784217
Alameda,9,3,Ozone,0.329962547,37.687526,-121.784217
Alameda,9,3,SO2,0.015277108,37.814781,-122.282347
Alameda,9,4,CO,0.015806841,37.743065,-122.169935
Alameda,9,4,NO2,0.15092016,37.687526,-121.784217
Alameda,9,4,Ozone,0.286734694,37.687526,-121.784217
Alameda,9,4,SO2,0.015950617,37.814781,-122.282347
Alameda,10,1,CO,0.012247978,37.743065,-122.169935
Alameda,10,1,NO2,0.132225352,37.687526,-121.784217
Alameda,10,1,Ozone,0.354277643,37.687526,-121.784217
Alameda,10,1,SO2,0.018409091,37.814781,-122.282347
Alameda,10,2,CO,0.009748529,37.743065,-122.169935
Alameda,10,2,NO2,0.082507901,37.687526,-121.784217
Alameda,10,2,Ozone,0.489951846,37.687526,-121.784217
Alameda,10,2,SO2,0.017185185,37.814781,-122.282347
Alameda,10,3,CO,0.011813804,37.743065,-122.169935
Alameda,10,3,NO2,0.094231776,37.687526,-121.784217
Alameda,10,3,Ozone,0.386271907,37.687526,-121.784217
