County,Hour,Weekend_day,Pollutant,Sample,Latitude,Longitude
Alameda,0,weekday,CO,0.011643177,37.743065,-122.169935
Alameda,0,weekday,NO2,0.096543266,37.687526,-121.784217
Alameda,0,weekday,Ozone,0.30150263,37.687526,-121.784217
Alameda,0,weekday,SO2,0.009056911,37.814781,-122.282347
Alameda,0,weekend,CO,0.012285714,37.743065,-122.169935
Alameda,0,weekend,NO2,0.093625,37.687526,-121.784217
Alameda,0,weekend,Ozone,0.31396648,37.687526,-121.784217
Alameda,0,weekend,SO2,0.0076633,37.814781,-122.282347
Alameda,1,weekday,CO,0.01107183,37.743065,-122.169935
Alameda,1,weekday,NO2,0.09164936,37.687526,-121.784217
Alameda,1,weekday,Ozone,0.299386371,37.687526,-121.784217
Alameda,1,weekday,SO2,0.008856369,37.814781,-122.282347
Alameda,1,weekend,CO,0.012049343,37.743065,-122.169935
Alameda,1,weekend,NO2,0.087891589,37.687526,-121.784217
Alameda,1,weekend,Ozone,0.313221601,37.687526,-121.784217
Alameda,1,weekend,SO2,0.007703704,37.814781,-122.282347
Alameda,2,weekday,CO,0.010308442,37.743065,-122.169935
Alameda,2,weekday,NO2,0.087473269,37.687526,-121.784217
Alameda,2,weekday,Ozone,0.304697987,37.687526,-121.784217
Alameda,2,weekday,SO2,0.008688705,37.814781,-122.282347
Alameda,2,weekend,CO,0.010215113,37.743065,-122.169935
Alameda,2,weekend,NO2,0.085683417,37.687526,-121.784217
Alameda,2,weekend,Ozone,0.303543454,37.687526,-121.784217
Alameda,2,weekend,SO2,0.007626667,37.814781,-122.282347
Alameda,3,weekday,CO,0.014977679,37.743065,-122.169935
Alameda,3,weekday,NO2,0.143403101,37.743065,-122.169935
Alameda,3,weekday,Ozone,0.162767154,37.743065,-122.169935
Alameda,3,weekend,CO,0.013828571,37.814781,-122.282347
Alameda,3,weekend,NO2,0.077352941,37.814781,-122.282347
Alameda,3,weekend,Ozone,0.3232493,37.814781,-122.282347
Alameda,4,weekday,CO,0.012096643,37.743065,-122.169935
Alameda,4,weekday,NO2,0.117440485,37.687526,-121.784217
Alameda,4,weekday,Ozone,0.260825301,37.687526,-121.784217
Alameda,4,weekday,SO2,0.009333333,37.814781,-122.282347
Alameda,4,weekend,CO,0.010887386,37.743065,-122.169935
Alameda,4,weekend,NO2,0.086363977,37.687526,-121.784217
Alameda,4,weekend,Ozone,0.297810414,37.687526,-121.784217
Alameda,4,weekend,SO2,0.009142857,37.814781,-122.282347
Alameda,5,weekday,CO,0.013817169,37.743065,-122.169935
Alameda,5,weekday,NO2,0.135517953,37.687526,-121.784217
Alameda,5,weekday,Ozone,0.248394495,37.687526,-121.784217
Alameda,5,weekday,SO2,0.010765027,37.814781,-122.282347
Alameda,5,weekend,CO,0.011755786,37.743065,-122.169935
Alameda,5,weekend,NO2,0.09460788,37.687526,-121.784217
Alameda,5,weekend,Ozone,0.289078772,37.687526,-121.784217
Alameda,5,weekend,SO2,0.008430976,37.814781,-122.282347
Alameda,6,weekday,CO,0.015498931,37.743065,-122.169935
Alameda,6,weekday,NO2,0.14848355,37.687526,-121.784217
Alameda,6,weekday,Ozone,0.247769231,37.687526,-121.784217
Alameda,6,weekday,SO2,0.011527778,37.814781,-122.282347
Alameda,6,weekend,CO,0.012649641,37.743065,-122.169935
Alameda,6,weekend,NO2,0.099673546,37.687526,-121.784217
Alameda,6,weekend,Ozone,0.293244326,37.687526,-121.784217
Alameda,6,weekend,SO2,0.008565657,37.814781,-122.282347
Alameda,7,weekday,CO,0.016445993,37.743065,-122.169935
Alameda,7,weekday,NO2,0.154397081,37.687526,-121.784217
Alameda,7,weekday,Ozone,0.257285824,37.687526,-121.784217
Alameda,7,weekday,SO2,0.013264368,37.814781,-122.282347
Alameda,7,weekend,CO,0.013296089,37.743065,-122.169935
Alameda,7,weekend,NO2,0.09784803,37.687526,-121.784217
Alameda,7,weekend,Ozone,0.312736983,37.687526,-121.784217
Alameda,7,weekend,SO2,0.009643098,37.814781,-122.282347
Alameda,8,weekday,CO,0.015326158,37.743065,-122.169935
Alameda,8,weekday,NO2,0.151178899,37.687526,-121.784217
Alameda,8,weekday,Ozone,0.28510453,37.687526,-121.784217
Alameda,8,weekday,SO2,0.015518672,37.814781,-122.282347
