"","Latitude","Longitude","County","Hour","Weekend_day","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego","00","weekday","NO2",0.0788326848249027
"2",32.579361,-116.929486,"San Diego","00","weekday","Ozone",0.388013136288998
"3",32.579361,-116.929486,"San Diego","00","weekend","NO2",0.0972115384615385
"4",32.579361,-116.929486,"San Diego","00","weekend","Ozone",0.373741496598639
"5",32.579361,-116.929486,"San Diego","01","weekday","NO2",0.0669565217391304
"6",32.579361,-116.929486,"San Diego","01","weekday","Ozone",0.394630192502533
"7",32.579361,-116.929486,"San Diego","01","weekend","NO2",0.0896363636363636
"8",32.579361,-116.929486,"San Diego","01","weekend","Ozone",0.371428571428571
"9",32.579361,-116.929486,"San Diego","02","weekday","NO2",0.0358823529411765
"10",32.579361,-116.929486,"San Diego","02","weekday","Ozone",0.443697478991597
"11",32.579361,-116.929486,"San Diego","02","weekend","NO2",0.0516666666666667
"12",32.579361,-116.929486,"San Diego","02","weekend","Ozone",0.447619047619048
"13",32.579361,-116.929486,"San Diego","03","weekday","NO2",0.0734558823529412
"14",32.579361,-116.929486,"San Diego","03","weekday","Ozone",0.369012605042017
"15",32.579361,-116.929486,"San Diego","03","weekend","NO2",0.0854545454545454
"16",32.579361,-116.929486,"San Diego","03","weekend","Ozone",0.356887755102041
"17",32.579361,-116.929486,"San Diego","04","weekday","NO2",0.0747286821705426
"18",32.579361,-116.929486,"San Diego","04","weekday","Ozone",0.359168035030104
"19",32.579361,-116.929486,"San Diego","04","weekend","NO2",0.089126213592233
"20",32.579361,-116.929486,"San Diego","04","weekend","Ozone",0.341904761904762
"21",32.579361,-116.929486,"San Diego","05","weekday","NO2",0.0904263565891473
"22",32.579361,-116.929486,"San Diego","05","weekday","Ozone",0.336015325670498
"23",32.579361,-116.929486,"San Diego","05","weekend","NO2",0.0892233009708738
"24",32.579361,-116.929486,"San Diego","05","weekend","Ozone",0.337414965986395
"25",32.579361,-116.929486,"San Diego","06","weekday","NO2",0.11431906614786
"26",32.579361,-116.929486,"San Diego","06","weekday","Ozone",0.316648351648352
"27",32.579361,-116.929486,"San Diego","06","weekend","NO2",0.089126213592233
"28",32.579361,-116.929486,"San Diego","06","weekend","Ozone",0.34843537414966
"29",32.579361,-116.929486,"San Diego","07","weekday","NO2",0.121456692913386
"30",32.579361,-116.929486,"San Diego","07","weekday","Ozone",0.341753998896856
"31",32.579361,-116.929486,"San Diego","07","weekend","NO2",0.0835922330097087
"32",32.579361,-116.929486,"San Diego","07","weekend","Ozone",0.395510204081633
"33",32.579361,-116.929486,"San Diego","08","weekday","NO2",0.122908366533865
"34",32.579361,-116.929486,"San Diego","08","weekday","Ozone",0.406281267370761
"35",32.579361,-116.929486,"San Diego","08","weekend","NO2",0.0844660194174757
"36",32.579361,-116.929486,"San Diego","08","weekend","Ozone",0.45891156462585
"37",32.579361,-116.929486,"San Diego","09","weekday","NO2",0.110819672131148
"38",32.579361,-116.929486,"San Diego","09","weekday","Ozone",0.502380952380952
"39",32.579361,-116.929486,"San Diego","09","weekend","NO2",0.0732038834951456
"40",32.579361,-116.929486,"San Diego","09","weekend","Ozone",0.555918367346939
"41",32.579361,-116.929486,"San Diego","10","weekday","NO2",0.094327731092437
"42",32.579361,-116.929486,"San Diego","10","weekday","Ozone",0.589746543778802
"43",32.579361,-116.929486,"San Diego","10","weekend","NO2",0.0603883495145631
"44",32.579361,-116.929486,"San Diego","10","weekend","Ozone",0.639863945578231
"45",32.579361,-116.929486,"San Diego","11","weekday","NO2",0.0738842975206612
"46",32.579361,-116.929486,"San Diego","11","weekday","Ozone",0.6513375071144
"47",32.579361,-116.929486,"San Diego","11","weekend","NO2",0.0489320388349515
"48",32.579361,-116.929486,"San Diego","11","weekend","Ozone",0.690340136054422
"49",32.579361,-116.929486,"San Diego","12","weekday","NO2",0.063765690376569
"50",32.579361,-116.929486,"San Diego","12","weekday","Ozone",0.678947368421053
"51",32.579361,-116.929486,"San Diego","12","weekend","NO2",0.0384466019417476
"52",32.579361,-116.929486,"San Diego","12","weekend","Ozone",0.709115646258503
