"","Latitude","Longitude","County","Month","Dayofweek","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego",1,"Sun","NO2",0.0698181818181818
"2",32.579361,-116.929486,"San Diego",1,"Sun","Ozone",0.442207792207792
"3",32.579361,-116.929486,"San Diego",1,"Mon","NO2",0.0969318181818182
"4",32.579361,-116.929486,"San Diego",1,"Mon","Ozone",0.4125
"5",32.579361,-116.929486,"San Diego",1,"Tues","NO2",0.101071428571429
"6",32.579361,-116.929486,"San Diego",1,"Tues","Ozone",0.415816326530612
"7",32.579361,-116.929486,"San Diego",1,"Wed","NO2",0.120804597701149
"8",32.579361,-116.929486,"San Diego",1,"Wed","Ozone",0.357799671592775
"9",32.579361,-116.929486,"San Diego",1,"Thurs","NO2",0.122413793103448
"10",32.579361,-116.929486,"San Diego",1,"Thurs","Ozone",0.375862068965517
"11",32.579361,-116.929486,"San Diego",1,"Fri","NO2",0.148363636363636
"12",32.579361,-116.929486,"San Diego",1,"Fri","Ozone",0.385584415584416
"13",32.579361,-116.929486,"San Diego",1,"Sat","NO2",0.105363636363636
"14",32.579361,-116.929486,"San Diego",1,"Sat","Ozone",0.371558441558442
"15",32.579361,-116.929486,"San Diego",2,"Sun","NO2",0.085
"16",32.579361,-116.929486,"San Diego",2,"Sun","Ozone",0.631006493506493
"17",32.579361,-116.929486,"San Diego",2,"Mon","NO2",0.105363636363636
"18",32.579361,-116.929486,"San Diego",2,"Mon","Ozone",0.557012987012987
"19",32.579361,-116.929486,"San Diego",2,"Tues","NO2",0.0957471264367816
"20",32.579361,-116.929486,"San Diego",2,"Tues","Ozone",0.522495894909688
"21",32.579361,-116.929486,"San Diego",2,"Wed","NO2",0.134942528735632
"22",32.579361,-116.929486,"San Diego",2,"Wed","Ozone",0.465845648604269
"23",32.579361,-116.929486,"San Diego",2,"Thurs","NO2",0.140941176470588
"24",32.579361,-116.929486,"San Diego",2,"Thurs","Ozone",0.464873949579832
"25",32.579361,-116.929486,"San Diego",2,"Fri","NO2",0.128181818181818
"26",32.579361,-116.929486,"San Diego",2,"Fri","Ozone",0.518181818181818
"27",32.579361,-116.929486,"San Diego",2,"Sat","NO2",0.10625
"28",32.579361,-116.929486,"San Diego",2,"Sat","Ozone",0.574025974025974
"29",32.579361,-116.929486,"San Diego",3,"Sun","NO2",0.0323863636363636
"30",32.579361,-116.929486,"San Diego",3,"Sun","Ozone",0.54202657807309
"31",32.579361,-116.929486,"San Diego",3,"Mon","NO2",0.0403448275862069
"32",32.579361,-116.929486,"San Diego",3,"Mon","Ozone",0.540065681444992
"33",32.579361,-116.929486,"San Diego",3,"Tues","NO2",0.0758490566037736
"34",32.579361,-116.929486,"San Diego",3,"Tues","Ozone",0.555307994757536
"35",32.579361,-116.929486,"San Diego",3,"Wed","NO2",0.1054
"36",32.579361,-116.929486,"San Diego",3,"Wed","Ozone",0.531536388140162
"37",32.579361,-116.929486,"San Diego",3,"Thurs","NO2",0.100288461538462
"38",32.579361,-116.929486,"San Diego",3,"Thurs","Ozone",0.506809078771696
"39",32.579361,-116.929486,"San Diego",3,"Fri","NO2",0.0802272727272727
"40",32.579361,-116.929486,"San Diego",3,"Fri","Ozone",0.514285714285714
"41",32.579361,-116.929486,"San Diego",3,"Sat","NO2",0.0326136363636364
"42",32.579361,-116.929486,"San Diego",3,"Sat","Ozone",0.53961038961039
"43",32.579361,-116.929486,"San Diego",4,"Sun","NO2",0.05
"44",32.579361,-116.929486,"San Diego",4,"Sun","Ozone",0.617694805194805
"45",32.579361,-116.929486,"San Diego",4,"Mon","NO2",0.0735227272727273
"46",32.579361,-116.929486,"San Diego",4,"Mon","Ozone",0.593019480519481
"47",32.579361,-116.929486,"San Diego",4,"Tues","NO2",0.104318181818182
"48",32.579361,-116.929486,"San Diego",4,"Tues","Ozone",0.590909090909091
"49",32.579361,-116.929486,"San Diego",4,"Wed","NO2",0.0903448275862069
"50",32.579361,-116.929486,"San Diego",4,"Wed","Ozone",0.595730706075534
"51",32.579361,-116.929486,"San Diego",4,"Thurs","NO2",0.0769411764705882
"52",32.579361,-116.929486,"San Diego",4,"Thurs","Ozone",0.544873949579832
"53",32.579361,-116.929486,"San Diego",4,"Fri","NO2",0.0627272727272727
"54",32.579361,-116.929486,"San Diego",4,"Fri","Ozone",0.541298701298701
"55",32.579361,-116.929486,"San Diego",4,"Sat","NO2",0.0470909090909091
"56",32.579361,-116.929486,"San Diego",4,"Sat","Ozone",0.584545454545454
"57",32.579361,-116.929486,"San Diego",5,"Sun","NO2",0.0184210526315789
"58",32.579361,-116.929486,"San Diego",5,"Sun","Ozone",0.53984962406015
"59",32.579361,-116.929486,"San Diego",5,"Mon","NO2",0.0370796460176991
"60",32.579361,-116.929486,"San Diego",5,"Mon","Ozone",0.502654867256637
"61",32.579361,-116.929486,"San Diego",5,"Tues","NO2",0.036551724137931
"62",32.579361,-116.929486,"San Diego",5,"Tues","Ozone",0.510467980295567
"63",32.579361,-116.929486,"San Diego",5,"Wed","NO2",0.0245054945054945
"64",32.579361,-116.929486,"San Diego",5,"Wed","Ozone",0.552276295133438
"65",32.579361,-116.929486,"San Diego",5,"Thurs","NO2",0.0434831460674157
"66",32.579361,-116.929486,"San Diego",5,"Thurs","Ozone",0.540449438202247
"67",32.579361,-116.929486,"San Diego",5,"Fri","NO2",0.0419565217391304
"68",32.579361,-116.929486,"San Diego",5,"Fri","Ozone",0.559782608695652
"69",32.579361,-116.929486,"San Diego",5,"Sat","NO2",0.0246739130434783
"70",32.579361,-116.929486,"San Diego",5,"Sat","Ozone",0.522515527950311
"71",32.579361,-116.929486,"San Diego",6,"Sun","NO2",0.0539772727272727
"72",32.579361,-116.929486,"San Diego",6,"Sun","Ozone",0.555844155844156
"73",32.579361,-116.929486,"San Diego",6,"Mon","NO2",0.0596590909090909
"74",32.579361,-116.929486,"San Diego",6,"Mon","Ozone",0.533441558441558
"75",32.579361,-116.929486,"San Diego",6,"Tues","NO2",0.0401219512195122
"76",32.579361,-116.929486,"San Diego",6,"Tues","Ozone",0.489372822299652
"77",32.579361,-116.929486,"San Diego",6,"Wed","NO2",0.0482142857142857
"78",32.579361,-116.929486,"San Diego",6,"Wed","Ozone",0.474362244897959
"79",32.579361,-116.929486,"San Diego",6,"Thurs","NO2",0.0524299065420561
"80",32.579361,-116.929486,"San Diego",6,"Thurs","Ozone",0.489452603471295
"81",32.579361,-116.929486,"San Diego",6,"Fri","NO2",0.06
"82",32.579361,-116.929486,"San Diego",6,"Fri","Ozone",0.548392857142857
"83",32.579361,-116.929486,"San Diego",6,"Sat","NO2",0.0669318181818182
"84",32.579361,-116.929486,"San Diego",6,"Sat","Ozone",0.510714285714286
"85",32.579361,-116.929486,"San Diego",7,"Sun","NO2",0.0241818181818182
"86",32.579361,-116.929486,"San Diego",7,"Sun","Ozone",0.454025974025974
"87",32.579361,-116.929486,"San Diego",7,"Mon","NO2",0.0357471264367816
"88",32.579361,-116.929486,"San Diego",7,"Mon","Ozone",0.450574712643678
"89",32.579361,-116.929486,"San Diego",7,"Tues","NO2",0.0349425287356322
"90",32.579361,-116.929486,"San Diego",7,"Tues","Ozone",0.489819376026273
"91",32.579361,-116.929486,"San Diego",7,"Wed","NO2",0.0398863636363636
"92",32.579361,-116.929486,"San Diego",7,"Wed","Ozone",0.520454545454545
"93",32.579361,-116.929486,"San Diego",7,"Thurs","NO2",0.0479069767441861
"94",32.579361,-116.929486,"San Diego",7,"Thurs","Ozone",0.506312292358804
"95",32.579361,-116.929486,"San Diego",7,"Fri","NO2",0.0652336448598131
"96",32.579361,-116.929486,"San Diego",7,"Fri","Ozone",0.449265687583445
"97",32.579361,-116.929486,"San Diego",7,"Sat","NO2",0.0384545454545455
"98",32.579361,-116.929486,"San Diego",7,"Sat","Ozone",0.49025974025974
"99",32.579361,-116.929486,"San Diego",8,"Sun","NO2",0.02125
"100",32.579361,-116.929486,"San Diego",8,"Sun","Ozone",0.532954545454545
"101",32.579361,-116.929486,"San Diego",8,"Mon","NO2",0.0355454545454545
"102",32.579361,-116.929486,"San Diego",8,"Mon","Ozone",0.488441558441558
"103",32.579361,-116.929486,"San Diego",8,"Tues","NO2",0.0511926605504587
"104",32.579361,-116.929486,"San Diego",8,"Tues","Ozone",0.492267365661861
"105",32.579361,-116.929486,"San Diego",8,"Wed","NO2",0.0503636363636364
"106",32.579361,-116.929486,"San Diego",8,"Wed","Ozone",0.494545454545455
"107",32.579361,-116.929486,"San Diego",8,"Thurs","NO2",0.0267045454545455
"108",32.579361,-116.929486,"San Diego",8,"Thurs","Ozone",0.539772727272727
"109",32.579361,-116.929486,"San Diego",8,"Fri","NO2",0.03125
"110",32.579361,-116.929486,"San Diego",8,"Fri","Ozone",0.522564935064935
"111",32.579361,-116.929486,"San Diego",8,"Sat","NO2",0.0219318181818182
"112",32.579361,-116.929486,"San Diego",8,"Sat","Ozone",0.528409090909091
"113",32.579361,-116.929486,"San Diego",9,"Sun","NO2",0.04875
"114",32.579361,-116.929486,"San Diego",9,"Sun","Ozone",0.540229885057471
"115",32.579361,-116.929486,"San Diego",9,"Mon","NO2",0.0759302325581395
"116",32.579361,-116.929486,"San Diego",9,"Mon","Ozone",0.460797342192691
"117",32.579361,-116.929486,"San Diego",9,"Tues","NO2",0.0747727272727273
"118",32.579361,-116.929486,"San Diego",9,"Tues","Ozone",0.398214285714286
"119",32.579361,-116.929486,"San Diego",9,"Wed","NO2",0.0755681818181818
"120",32.579361,-116.929486,"San Diego",9,"Wed","Ozone",0.473214285714286
"121",32.579361,-116.929486,"San Diego",9,"Thurs","NO2",0.0699090909090909
"122",32.579361,-116.929486,"San Diego",9,"Thurs","Ozone",0.471168831168831
"123",32.579361,-116.929486,"San Diego",9,"Fri","NO2",0.074
"124",32.579361,-116.929486,"San Diego",9,"Fri","Ozone",0.484805194805195
"125",32.579361,-116.929486,"San Diego",9,"Sat","NO2",0.0576136363636364
"126",32.579361,-116.929486,"San Diego",9,"Sat","Ozone",0.538961038961039
"127",32.579361,-116.929486,"San Diego",10,"Sun","NO2",0.102613636363636
"128",32.579361,-116.929486,"San Diego",10,"Sun","Ozone",0.463896103896104
"129",32.579361,-116.929486,"San Diego",10,"Mon","NO2",0.091566265060241
"130",32.579361,-116.929486,"San Diego",10,"Mon","Ozone",0.463040629095675
"131",32.579361,-116.929486,"San Diego",10,"Tues","NO2",0.0704
"132",32.579361,-116.929486,"San Diego",10,"Tues","Ozone",0.431802721088435
"133",32.579361,-116.929486,"San Diego",10,"Wed","NO2",0.08609375
"134",32.579361,-116.929486,"San Diego",10,"Wed","Ozone",0.510299003322259
"135",32.579361,-116.929486,"San Diego",10,"Thurs","NO2",0.167361111111111
"136",32.579361,-116.929486,"San Diego",10,"Thurs","Ozone",0.447840531561462
"137",32.579361,-116.929486,"San Diego",10,"Fri","NO2",0.140714285714286
"138",32.579361,-116.929486,"San Diego",10,"Fri","Ozone",0.514449917898194
"139",32.579361,-116.929486,"San Diego",10,"Sat","NO2",0.126222222222222
"140",32.579361,-116.929486,"San Diego",10,"Sat","Ozone",0.499090909090909
"141",32.579361,-116.929486,"San Diego",11,"Sun","NO2",0.104886363636364
"142",32.579361,-116.929486,"San Diego",11,"Sun","Ozone",0.495292207792208
"143",32.579361,-116.929486,"San Diego",11,"Mon","NO2",0.145975609756098
"144",32.579361,-116.929486,"San Diego",11,"Mon","Ozone",0.435880398671096
"145",32.579361,-116.929486,"San Diego",11,"Tues","NO2",0.14188679245283
"146",32.579361,-116.929486,"San Diego",11,"Tues","Ozone",0.421832884097035
"147",32.579361,-116.929486,"San Diego",11,"Wed","NO2",0.115363636363636
"148",32.579361,-116.929486,"San Diego",11,"Wed","Ozone",0.444545454545455
"149",32.579361,-116.929486,"San Diego",11,"Thurs","NO2",0.116931818181818
"150",32.579361,-116.929486,"San Diego",11,"Thurs","Ozone",0.527597402597403
"151",32.579361,-116.929486,"San Diego",11,"Fri","NO2",0.125568181818182
"152",32.579361,-116.929486,"San Diego",11,"Fri","Ozone",0.506980519480519
"153",32.579361,-116.929486,"San Diego",11,"Sat","NO2",0.156477272727273
"154",32.579361,-116.929486,"San Diego",11,"Sat","Ozone",0.473214285714286
"155",32.579361,-116.929486,"San Diego",12,"Sun","NO2",0.0732222222222222
"156",32.579361,-116.929486,"San Diego",12,"Sun","Ozone",0.44031746031746
"157",32.579361,-116.929486,"San Diego",12,"Mon","NO2",0.0794186046511628
"158",32.579361,-116.929486,"San Diego",12,"Mon","Ozone",0.43687707641196
"159",32.579361,-116.929486,"San Diego",12,"Tues","NO2",0.14875
"160",32.579361,-116.929486,"San Diego",12,"Tues","Ozone",0.358766233766234
"161",32.579361,-116.929486,"San Diego",12,"Wed","NO2",0.16
"162",32.579361,-116.929486,"San Diego",12,"Wed","Ozone",0.29781512605042
"163",32.579361,-116.929486,"San Diego",12,"Thurs","NO2",0.146296296296296
"164",32.579361,-116.929486,"San Diego",12,"Thurs","Ozone",0.346765498652291
"165",32.579361,-116.929486,"San Diego",12,"Fri","NO2",0.111171171171171
"166",32.579361,-116.929486,"San Diego",12,"Fri","Ozone",0.377863577863578
"167",32.579361,-116.929486,"San Diego",12,"Sat","NO2",0.0686607142857143
"168",32.579361,-116.929486,"San Diego",12,"Sat","Ozone",0.473469387755102
"169",32.631231,-117.059075,"San Diego",1,"Sun","NO2",0.102636363636364
"170",32.631231,-117.059075,"San Diego",1,"Sun","Ozone",0.364935064935065
"171",32.631231,-117.059075,"San Diego",1,"Mon","NO2",0.137045454545455
"172",32.631231,-117.059075,"San Diego",1,"Mon","Ozone",0.298538961038961
"173",32.631231,-117.059075,"San Diego",1,"Tues","NO2",0.155119047619048
"174",32.631231,-117.059075,"San Diego",1,"Tues","Ozone",0.296428571428571
"175",32.631231,-117.059075,"San Diego",1,"Wed","NO2",0.178522727272727
"176",32.631231,-117.059075,"San Diego",1,"Wed","Ozone",0.242532467532468
"177",32.631231,-117.059075,"San Diego",1,"Thurs","NO2",0.147954545454545
"178",32.631231,-117.059075,"San Diego",1,"Thurs","Ozone",0.294621848739496
"179",32.631231,-117.059075,"San Diego",1,"Fri","NO2",0.183363636363636
"180",32.631231,-117.059075,"San Diego",1,"Fri","Ozone",0.274285714285714
"181",32.631231,-117.059075,"San Diego",1,"Sat","NO2",0.132909090909091
