"","Latitude","Longitude","County","Month","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego",1,"NO2",0.109127218934911
"2",32.579361,-116.929486,"San Diego",1,"Ozone",0.394949281487743
"3",32.579361,-116.929486,"San Diego",2,"NO2",0.113349131121643
"4",32.579361,-116.929486,"San Diego",2,"Ozone",0.534619724667118
"5",32.579361,-116.929486,"San Diego",3,"NO2",0.0685325264750378
"6",32.579361,-116.929486,"San Diego",3,"Ozone",0.532701724505003
"7",32.579361,-116.929486,"San Diego",4,"NO2",0.0709298780487805
"8",32.579361,-116.929486,"San Diego",4,"Ozone",0.580074041811847
"9",32.579361,-116.929486,"San Diego",5,"NO2",0.0321923620933522
"10",32.579361,-116.929486,"San Diego",5,"Ozone",0.531097191351788
"11",32.579361,-116.929486,"San Diego",6,"NO2",0.0542480620155039
"12",32.579361,-116.929486,"San Diego",6,"Ozone",0.512093023255814
"13",32.579361,-116.929486,"San Diego",7,"NO2",0.040962962962963
"14",32.579361,-116.929486,"San Diego",7,"Ozone",0.478666666666667
"15",32.579361,-116.929486,"San Diego",8,"NO2",0.0351395007342144
"16",32.579361,-116.929486,"San Diego",8,"Ozone",0.511999160897839
"17",32.579361,-116.929486,"San Diego",9,"NO2",0.0683130699088146
"18",32.579361,-116.929486,"San Diego",9,"Ozone",0.480821917808219
"19",32.579361,-116.929486,"San Diego",10,"NO2",0.114670433145009
"20",32.579361,-116.929486,"San Diego",10,"Ozone",0.47593537414966
"21",32.579361,-116.929486,"San Diego",11,"NO2",0.129292307692308
"22",32.579361,-116.929486,"San Diego",11,"Ozone",0.469986893840105
"23",32.579361,-116.929486,"San Diego",12,"NO2",0.111818181818182
"24",32.579361,-116.929486,"San Diego",12,"Ozone",0.392056468605141
"25",32.631231,-117.059075,"San Diego",1,"NO2",0.147345132743363
"26",32.631231,-117.059075,"San Diego",1,"Ozone",0.295957671957672
"27",32.631231,-117.059075,"San Diego",2,"NO2",0.168643533123028
"28",32.631231,-117.059075,"San Diego",2,"Ozone",0.36189725101397
"29",32.631231,-117.059075,"San Diego",3,"NO2",0.0774777448071217
"30",32.631231,-117.059075,"San Diego",3,"Ozone",0.427203871239217
"31",32.631231,-117.059075,"San Diego",4,"NO2",0.083
"32",32.631231,-117.059075,"San Diego",4,"Ozone",0.462530359902848
"33",32.631231,-117.059075,"San Diego",5,"NO2",0.029375
"34",32.631231,-117.059075,"San Diego",5,"Ozone",0.496233766233766
"35",32.631231,-117.059075,"San Diego",6,"NO2",0.0456335877862595
"36",32.631231,-117.059075,"San Diego",6,"Ozone",0.470687022900763
"37",32.631231,-117.059075,"San Diego",7,"NO2",0.0323598820058997
"38",32.631231,-117.059075,"San Diego",7,"Ozone",0.4350400337126
"39",32.631231,-117.059075,"San Diego",8,"NO2",0.0329678362573099
"40",32.631231,-117.059075,"San Diego",8,"Ozone",0.474895572263993
"41",32.631231,-117.059075,"San Diego",9,"NO2",0.0782132132132132
"42",32.631231,-117.059075,"San Diego",9,"Ozone",0.431505675733562
"43",32.631231,-117.059075,"San Diego",10,"NO2",0.111221374045802
"44",32.631231,-117.059075,"San Diego",10,"Ozone",0.403049040511727
"45",32.631231,-117.059075,"San Diego",11,"NO2",0.148106870229008
"46",32.631231,-117.059075,"San Diego",11,"Ozone",0.359114811568799
"47",32.631231,-117.059075,"San Diego",12,"NO2",0.141175595238095
"48",32.631231,-117.059075,"San Diego",12,"Ozone",0.291740412979351
"49",32.676186,-115.484144,"Imperial",1,"CO",0.0180614024512759
"50",32.676186,-115.484144,"Imperial",1,"NO2",0.172287921348315
"51",32.676186,-115.484144,"Imperial",1,"Ozone",0.290790529695024
"52",32.676186,-115.484144,"Imperial",1,"SO2",0.00859925093632959
"53",32.676186,-115.484144,"Imperial",2,"CO",0.016002778983934
"54",32.676186,-115.484144,"Imperial",2,"NO2",0.168712765957447
"55",32.676186,-115.484144,"Imperial",2,"Ozone",0.365979157620495
"56",32.676186,-115.484144,"Imperial",2,"SO2",0.0107112462006079
"57",32.676186,-115.484144,"Imperial",3,"CO",0.00947557344064386
"58",32.676186,-115.484144,"Imperial",3,"NO2",0.117447592067989
"59",32.676186,-115.484144,"Imperial",3,"Ozone",0.510376788232924
"60",32.676186,-115.484144,"Imperial",3,"SO2",0.0126159624413146
"61",32.676186,-115.484144,"Imperial",4,"CO",0.00856168224299065
"62",32.676186,-115.484144,"Imperial",4,"NO2",0.0989621212121212
"63",32.676186,-115.484144,"Imperial",4,"Ozone",0.567516749513724
"64",32.676186,-115.484144,"Imperial",4,"SO2",0.00949544072948328
"65",32.676186,-115.484144,"Imperial",5,"CO",0.00664241197895589
"66",32.676186,-115.484144,"Imperial",5,"NO2",0.0740453257790368
"67",32.676186,-115.484144,"Imperial",5,"Ozone",0.59166499699459
"68",32.676186,-115.484144,"Imperial",5,"SO2",0.0106835205992509
"69",32.676186,-115.484144,"Imperial",6,"CO",0.00657797101449275
"70",32.676186,-115.484144,"Imperial",6,"NO2",0.0859101449275362
"71",32.676186,-115.484144,"Imperial",6,"Ozone",0.55878084179971
"72",32.676186,-115.484144,"Imperial",6,"SO2",0.0152096618357488
"73",32.676186,-115.484144,"Imperial",7,"CO",0.00526005253586583
"74",32.676186,-115.484144,"Imperial",7,"NO2",0.073005657708628
"75",32.676186,-115.484144,"Imperial",7,"Ozone",0.518124873711861
"76",32.676186,-115.484144,"Imperial",7,"SO2",0.0109709938183547
"77",32.676186,-115.484144,"Imperial",8,"CO",0.00600394366197183
"78",32.676186,-115.484144,"Imperial",8,"NO2",0.0811729957805907
"79",32.676186,-115.484144,"Imperial",8,"Ozone",0.440222897669706
"80",32.676186,-115.484144,"Imperial",8,"SO2",0.00861581920903955
"81",32.676186,-115.484144,"Imperial",9,"CO",0.00621968162083936
"82",32.676186,-115.484144,"Imperial",9,"NO2",0.082493487698987
"83",32.676186,-115.484144,"Imperial",9,"Ozone",0.459461697722567
"84",32.676186,-115.484144,"Imperial",9,"SO2",0.00446763285024155
"85",32.676186,-115.484144,"Imperial",10,"CO",0.00971015783083772
"86",32.676186,-115.484144,"Imperial",10,"NO2",0.124100583090379
"87",32.676186,-115.484144,"Imperial",10,"Ozone",0.422206506364922
"88",32.676186,-115.484144,"Imperial",10,"SO2",0.00772426817752597
"89",32.676186,-115.484144,"Imperial",11,"CO",0.0130155881744883
"90",32.676186,-115.484144,"Imperial",11,"NO2",0.145592753623188
"91",32.676186,-115.484144,"Imperial",11,"Ozone",0.378902857142857
"92",32.676186,-115.484144,"Imperial",11,"SO2",0.00672463768115942
"93",32.676186,-115.484144,"Imperial",12,"CO",0.0148268812877264
"94",32.676186,-115.484144,"Imperial",12,"NO2",0.157426160337553
"95",32.676186,-115.484144,"Imperial",12,"Ozone",0.290282508515328
"96",32.676186,-115.484144,"Imperial",12,"SO2",0.00689325842696629
"97",32.701492,-117.149653,"San Diego",1,"CO",0.013538862353452
"98",32.701492,-117.149653,"San Diego",1,"NO2",0.180859259259259
"99",32.701492,-117.149653,"San Diego",1,"Ozone",0.278793650793651
"100",32.701492,-117.149653,"San Diego",2,"CO",0.0169299905392621
"101",32.701492,-117.149653,"San Diego",2,"NO2",0.253697068403909
"102",32.701492,-117.149653,"San Diego",2,"Ozone",0.320447726748211
"103",32.701492,-117.149653,"San Diego",3,"CO",0.0079468438538206
"104",32.701492,-117.149653,"San Diego",3,"NO2",0.125436746987952
"105",32.701492,-117.149653,"San Diego",3,"Ozone",0.432336488812392
"106",32.701492,-117.149653,"San Diego",4,"CO",0.00785148290695042
"107",32.701492,-117.149653,"San Diego",4,"NO2",0.125622119815668
"108",32.701492,-117.149653,"San Diego",4,"Ozone",0.458796296296296
"109",32.701492,-117.149653,"San Diego",5,"CO",0.00409581355200691
"110",32.701492,-117.149653,"San Diego",5,"NO2",0.0492762186115214
"111",32.701492,-117.149653,"San Diego",5,"Ozone",0.495245108352619
"112",32.701492,-117.149653,"San Diego",6,"CO",0.00484139482564679
"113",32.701492,-117.149653,"San Diego",6,"NO2",0.0642879256965944
"114",32.701492,-117.149653,"San Diego",6,"Ozone",0.454575378538512
"115",32.701492,-117.149653,"San Diego",7,"CO",0.00379355400696864
"116",32.701492,-117.149653,"San Diego",7,"NO2",0.0596582466567608
"117",32.701492,-117.149653,"San Diego",7,"Ozone",0.418233920611335
"118",32.701492,-117.149653,"San Diego",8,"CO",0.00465096174627188
"119",32.701492,-117.149653,"San Diego",8,"NO2",0.0555703703703704
"120",32.701492,-117.149653,"San Diego",8,"Ozone",0.464965986394558
"121",32.701492,-117.149653,"San Diego",9,"CO",0.00733408323959505
"122",32.701492,-117.149653,"San Diego",9,"NO2",0.121631097560976
"123",32.701492,-117.149653,"San Diego",9,"Ozone",0.410017421602787
"124",32.701492,-117.149653,"San Diego",10,"CO",0.0102857142857143
"125",32.701492,-117.149653,"San Diego",10,"NO2",0.156327345309381
"126",32.701492,-117.149653,"San Diego",10,"Ozone",0.409410430839002
"127",32.725226,-116.365203,"San Diego",1,"Ozone",0.597870692992644
"128",32.725226,-116.365203,"San Diego",2,"Ozone",0.716646141215107
"129",32.725226,-116.365203,"San Diego",3,"Ozone",0.69744623655914
"130",32.725226,-116.365203,"San Diego",4,"Ozone",0.749449008214787
"131",32.725226,-116.365203,"San Diego",5,"Ozone",0.678763958413554
"132",32.725226,-116.365203,"San Diego",6,"Ozone",0.792634560906516
"133",32.725226,-116.365203,"San Diego",7,"Ozone",0.785023041474654
"134",32.725226,-116.365203,"San Diego",8,"Ozone",0.768042476457624
"135",32.725226,-116.365203,"San Diego",9,"Ozone",0.642033353425758
"136",32.725226,-116.365203,"San Diego",10,"Ozone",0.618309587986138
"137",32.725226,-116.365203,"San Diego",11,"Ozone",0.651296887470072
"138",32.725226,-116.365203,"San Diego",12,"Ozone",0.561702127659574
"139",32.789561,-116.944222,"San Diego",7,"CO",0.005512
"140",32.789561,-116.944222,"San Diego",7,"NO2",0.0789447236180904
"141",32.789561,-116.944222,"San Diego",7,"Ozone",0.449579831932773
"142",32.789561,-116.944222,"San Diego",7,"SO2",0.000418300653594771
"143",32.789561,-116.944222,"San Diego",8,"CO",0.00689310500225327
"144",32.789561,-116.944222,"San Diego",8,"NO2",0.0613015873015873
"145",32.789561,-116.944222,"San Diego",8,"Ozone",0.533145561063542
"146",32.789561,-116.944222,"San Diego",8,"SO2",0.000723449001051525
"147",32.789561,-116.944222,"San Diego",9,"CO",0.00726582109479306
"148",32.789561,-116.944222,"San Diego",9,"NO2",0.0867554858934169
"149",32.789561,-116.944222,"San Diego",9,"Ozone",0.462150681868992
"150",32.789561,-116.944222,"San Diego",9,"SO2",0.000966666666666667
"151",32.789561,-116.944222,"San Diego",10,"CO",0.00935870500339597
"152",32.789561,-116.944222,"San Diego",10,"NO2",0.115071315372425
"153",32.789561,-116.944222,"San Diego",10,"Ozone",0.427713834348905
"154",32.789561,-116.944222,"San Diego",10,"SO2",0.00136492890995261
"155",32.789561,-116.944222,"San Diego",11,"CO",0.012484903410446
"156",32.789561,-116.944222,"San Diego",11,"NO2",0.170358422939068
"157",32.789561,-116.944222,"San Diego",11,"Ozone",0.332700522069293
"158",32.789561,-116.944222,"San Diego",11,"SO2",0.00136434108527132
"159",32.789561,-116.944222,"San Diego",12,"CO",0.0127797561536692
"160",32.789561,-116.944222,"San Diego",12,"NO2",0.139043624161074
"161",32.789561,-116.944222,"San Diego",12,"Ozone",0.283830960036748
"162",32.789561,-116.944222,"San Diego",12,"SO2",0.00119569892473118
"163",32.79222,-115.56306,"Imperial",1,"NO2",0.0901426553672316
"164",32.79222,-115.56306,"Imperial",1,"Ozone",0.319975786924939
"165",32.79222,-115.56306,"Imperial",2,"NO2",0.0783612804878049
"166",32.79222,-115.56306,"Imperial",2,"Ozone",0.416659407665505
"167",32.79222,-115.56306,"Imperial",3,"CO",3.38123415046492e-05
"168",32.79222,-115.56306,"Imperial",3,"NO2",0.0298309659090909
"169",32.79222,-115.56306,"Imperial",3,"Ozone",0.424249188311688
"170",32.79222,-115.56306,"Imperial",4,"CO",0.00015546218487395
"171",32.79222,-115.56306,"Imperial",4,"NO2",0.0114882352941176
"172",32.79222,-115.56306,"Imperial",4,"Ozone",0.621397105097546
"173",32.79222,-115.56306,"Imperial",5,"CO",2.04373594931535e-05
"174",32.79222,-115.56306,"Imperial",5,"NO2",0.00419027181688126
"175",32.79222,-115.56306,"Imperial",5,"Ozone",0.616125076640098
"176",32.79222,-115.56306,"Imperial",6,"CO",0.0737142857142857
"177",32.79222,-115.56306,"Imperial",6,"NO2",0.0160725925925926
"178",32.79222,-115.56306,"Imperial",6,"Ozone",0.571639898562975
"179",32.79222,-115.56306,"Imperial",7,"CO",0.00612521150592217
"180",32.79222,-115.56306,"Imperial",7,"NO2",0.0302622720897616
"181",32.79222,-115.56306,"Imperial",7,"Ozone",0.539230615107193
