"","County","Month","Weekend_day","Pollutant","Sample","Latitude","Longitude"
"1","Alameda",1,"weekday","CO",0.0142599027102154,37.743065,-122.169935
"2","Alameda",1,"weekday","NO2",0.170489827856025,37.687526,-121.784217
"3","Alameda",1,"weekday","Ozone",0.248720626631854,37.687526,-121.784217
"4","Alameda",1,"weekday","SO2",0.0125309992706054,37.814781,-122.282347
"5","Alameda",1,"weekend","CO",0.0109151138716356,37.743065,-122.169935
"6","Alameda",1,"weekend","NO2",0.100495652173913,37.687526,-121.784217
"7","Alameda",1,"weekend","Ozone",0.323892429659568,37.687526,-121.784217
"8","Alameda",1,"weekend","SO2",0.00746060606060606,37.814781,-122.282347
"9","Alameda",2,"weekday","CO",0.0154180938948217,37.743065,-122.169935
"10","Alameda",2,"weekday","NO2",0.187593766508188,37.687526,-121.784217
"11","Alameda",2,"weekday","Ozone",0.300195385887127,37.687526,-121.784217
"12","Alameda",2,"weekday","SO2",0.0168702064896755,37.814781,-122.282347
"13","Alameda",2,"weekend","CO",0.0147360248447205,37.743065,-122.169935
"14","Alameda",2,"weekend","NO2",0.1505,37.687526,-121.784217
"15","Alameda",2,"weekend","Ozone",0.279833074534161,37.687526,-121.784217
"16","Alameda",2,"weekend","SO2",0.01375,37.814781,-122.282347
"17","Alameda",3,"weekday","CO",0.0112840984697272,37.743065,-122.169935
"18","Alameda",3,"weekday","NO2",0.120677941877084,37.687526,-121.784217
"19","Alameda",3,"weekday","Ozone",0.371856124872752,37.687526,-121.784217
"20","Alameda",3,"weekday","SO2",0.0122053333333333,37.814781,-122.282347
"21","Alameda",3,"weekend","CO",0.00961603613777527,37.743065,-122.169935
"22","Alameda",3,"weekend","NO2",0.0614836956521739,37.687526,-121.784217
"23","Alameda",3,"weekend","Ozone",0.432841614906832,37.687526,-121.784217
"24","Alameda",3,"weekend","SO2",0.00725,37.814781,-122.282347
"25","Alameda",4,"weekday","CO",0.010676798378926,37.743065,-122.169935
"26","Alameda",4,"weekday","NO2",0.0936724576271186,37.687526,-121.784217
"27","Alameda",4,"weekday","Ozone",0.49998807038473,37.687526,-121.784217
"28","Alameda",4,"weekday","SO2",0.0128849816849817,37.814781,-122.282347
"29","Alameda",4,"weekend","CO",0.0105912123303428,37.743065,-122.169935
"30","Alameda",4,"weekend","NO2",0.0700344827586207,37.687526,-121.784217
"31","Alameda",4,"weekend","Ozone",0.486059351276743,37.687526,-121.784217
"32","Alameda",4,"weekend","SO2",0.0107340067340067,37.814781,-122.282347
"33","Alameda",5,"weekday","CO",0.00872049689440994,37.743065,-122.169935
"34","Alameda",5,"weekday","NO2",0.0771067146282974,37.687526,-121.784217
"35","Alameda",5,"weekday","Ozone",0.439373932840068,37.687526,-121.784217
"36","Alameda",5,"weekday","SO2",0.0109154437456324,37.814781,-122.282347
"37","Alameda",5,"weekend","CO",0.00870485392224523,37.743065,-122.169935
"38","Alameda",5,"weekend","NO2",0.0572980582524272,37.687526,-121.784217
"39","Alameda",5,"weekend","Ozone",0.458973647711512,37.687526,-121.784217
"40","Alameda",5,"weekend","SO2",0.00995286195286195,37.814781,-122.282347
"41","Alameda",6,"weekday","CO",0.00842601689919434,37.743065,-122.169935
"42","Alameda",6,"weekday","NO2",0.0746946564885496,37.687526,-121.784217
"43","Alameda",6,"weekday","Ozone",0.419041861000749,37.687526,-121.784217
"44","Alameda",6,"weekday","SO2",0.0136572668112798,37.814781,-122.282347
"45","Alameda",6,"weekend","CO",0.0093064182194617,37.743065,-122.169935
"46","Alameda",6,"weekend","NO2",0.0718760869565217,37.687526,-121.784217
"47","Alameda",6,"weekend","Ozone",0.47596123788684,37.687526,-121.784217
"48","Alameda",6,"weekend","SO2",0.0124924242424242,37.814781,-122.282347
"49","Alameda",7,"weekday","CO",0.00991142402907109,37.743065,-122.169935
"50","Alameda",7,"weekday","NO2",0.0805019130434783,37.687526,-121.784217
"51","Alameda",7,"weekday","Ozone",0.334029342546693,37.687526,-121.784217
"52","Alameda",7,"weekday","SO2",0.0150883720930233,37.814781,-122.282347
"53","Alameda",7,"weekend","CO",0.00978264476522316,37.743065,-122.169935
"54","Alameda",7,"weekend","NO2",0.0552834704562453,37.687526,-121.784217
"55","Alameda",7,"weekend","Ozone",0.339320860819725,37.687526,-121.784217
"56","Alameda",7,"weekend","SO2",0.0109856850715746,37.814781,-122.282347
"57","Alameda",8,"weekday","CO",0.010828800458059,37.743065,-122.169935
"58","Alameda",8,"weekday","NO2",0.0820381173351011,37.687526,-121.784217
"59","Alameda",8,"weekday","Ozone",0.336823832981468,37.687526,-121.784217
"60","Alameda",8,"weekday","SO2",0.010787610619469,37.814781,-122.282347
"61","Alameda",8,"weekend","CO",0.0113625776397516,37.743065,-122.169935
"62","Alameda",8,"weekend","NO2",0.0570615942028986,37.687526,-121.784217
"63","Alameda",8,"weekend","Ozone",0.390126811594203,37.687526,-121.784217
"64","Alameda",8,"weekend","SO2",0.00893939393939394,37.814781,-122.282347
"65","Alameda",9,"weekday","CO",0.0132356406480118,37.743065,-122.169935
"66","Alameda",9,"weekday","NO2",0.11027662470228,37.687526,-121.784217
"67","Alameda",9,"weekday","Ozone",0.379176918994548,37.687526,-121.784217
"68","Alameda",9,"weekday","SO2",0.00869856459330144,37.814781,-122.282347
"69","Alameda",9,"weekend","CO",0.0130617813291756,37.743065,-122.169935
"70","Alameda",9,"weekend","NO2",0.0817529518619437,37.687526,-121.784217
"71","Alameda",9,"weekend","Ozone",0.387991718426501,37.687526,-121.784217
"72","Alameda",9,"weekend","SO2",0.00631818181818182,37.814781,-122.282347
"73","Alameda",10,"weekday","CO",0.0136827896512936,37.743065,-122.169935
"74","Alameda",10,"weekday","NO2",0.125324684431978,37.687526,-121.784217
"75","Alameda",10,"weekday","Ozone",0.319722443294867,37.687526,-121.784217
"76","Alameda",10,"weekday","SO2",0.00680319535221496,37.814781,-122.282347
"77","Alameda",10,"weekend","CO",0.0142608695652174,37.743065,-122.169935
"78","Alameda",10,"weekend","NO2",0.0937593703148426,37.687526,-121.784217
"79","Alameda",10,"weekend","Ozone",0.397088594385892,37.687526,-121.784217
"80","Alameda",10,"weekend","SO2",0.00637575757575758,37.814781,-122.282347
"81","Alameda",11,"weekday","CO",0.0165094482237339,37.743065,-122.169935
"82","Alameda",11,"weekday","NO2",0.156198489010989,37.687526,-121.784217
"83","Alameda",11,"weekday","Ozone",0.270446243459374,37.687526,-121.784217
"84","Alameda",11,"weekday","SO2",0.0123307757885763,37.814781,-122.282347
"85","Alameda",11,"weekend","CO",0.0140786749482402,37.743065,-122.169935
"86","Alameda",11,"weekend","NO2",0.101287606433302,37.687526,-121.784217
"87","Alameda",11,"weekend","Ozone",0.345584661085606,37.687526,-121.784217
"88","Alameda",11,"weekend","SO2",0.00531313131313131,37.814781,-122.282347
"89","Alameda",12,"weekday","CO",0.0166275872050948,37.743065,-122.169935
"90","Alameda",12,"weekday","NO2",0.180710536939847,37.687526,-121.784217
"91","Alameda",12,"weekday","Ozone",0.223497235961594,37.687526,-121.784217
"92","Alameda",12,"weekday","SO2",0.0144247787610619,37.814781,-122.282347
"93","Alameda",12,"weekend","CO",0.0172503242542153,37.743065,-122.169935
"94","Alameda",12,"weekend","NO2",0.150985492227979,37.687526,-121.784217
"95","Alameda",12,"weekend","Ozone",0.246815658778849,37.687526,-121.784217
"96","Alameda",12,"weekend","SO2",0.012969696969697,37.814781,-122.282347
"97","Contra Costa",1,"weekday","CO",0.0120150584505647,37.936013,-122.026154
"98","Contra Costa",1,"weekday","NO2",0.0963890429958391,37.936013,-122.026154
"99","Contra Costa",1,"weekday","Ozone",0.239786011491975,37.936013,-122.026154
"100","Contra Costa",1,"weekday","SO2",0.0124693371144984,37.936013,-122.026154
"101","Contra Costa",1,"weekend","CO",0.0108737060041408,37.936013,-122.026154
"102","Contra Costa",1,"weekend","NO2",0.0646753623188406,37.936013,-122.026154
"103","Contra Costa",1,"weekend","Ozone",0.326086956521739,37.936013,-122.026154
"104","Contra Costa",1,"weekend","SO2",0.0117777777777778,37.936013,-122.026154
"105","Contra Costa",2,"weekday","CO",0.0122196566609778,37.936013,-122.026154
"106","Contra Costa",2,"weekday","NO2",0.0997301475755446,37.936013,-122.026154
"107","Contra Costa",2,"weekday","Ozone",0.288695914064853,37.936013,-122.026154
"108","Contra Costa",2,"weekday","SO2",0.0153934171154997,37.936013,-122.026154
"109","Contra Costa",2,"weekend","CO",0.0123098512489475,37.936013,-122.026154
"110","Contra Costa",2,"weekend","NO2",0.0760333988212181,37.936013,-122.026154
"111","Contra Costa",2,"weekend","Ozone",0.272888015717092,37.936013,-122.026154
"112","Contra Costa",2,"weekend","SO2",0.0152890599935836,37.936013,-122.026154
"113","Contra Costa",3,"weekday","CO",0.0106065795403335,37.936013,-122.026154
"114","Contra Costa",3,"weekday","NO2",0.0611367359798362,37.936013,-122.026154
"115","Contra Costa",3,"weekday","Ozone",0.359208152958153,37.936013,-122.026154
"116","Contra Costa",3,"weekday","SO2",0.0137592771861891,37.936013,-122.026154
"117","Contra Costa",3,"weekend","CO",0.00981884057971015,37.936013,-122.026154
"118","Contra Costa",3,"weekend","NO2",0.0314673913043478,37.936013,-122.026154
"119","Contra Costa",3,"weekend","Ozone",0.419280538302277,37.936013,-122.026154
"120","Contra Costa",3,"weekend","SO2",0.0119073215940686,37.936013,-122.026154
"121","Contra Costa",4,"weekday","CO",0.00884081632653061,37.936013,-122.026154
"122","Contra Costa",4,"weekday","NO2",0.0505961638154484,37.936013,-122.026154
"123","Contra Costa",4,"weekday","Ozone",0.487172011661808,37.936013,-122.026154
"124","Contra Costa",4,"weekday","SO2",0.0173223770394188,37.936013,-122.026154
"125","Contra Costa",4,"weekend","CO",0.00923041474654378,37.936013,-122.026154
"126","Contra Costa",4,"weekend","NO2",0.0383204353083434,37.936013,-122.026154
"127","Contra Costa",4,"weekend","Ozone",0.461979616514078,37.936013,-122.026154
"128","Contra Costa",4,"weekend","SO2",0.0159495198902606,37.936013,-122.026154
"129","Contra Costa",5,"weekday","CO",0.00736077481840194,37.936013,-122.026154
"130","Contra Costa",5,"weekday","NO2",0.0443062749003984,37.936013,-122.026154
"131","Contra Costa",5,"weekday","Ozone",0.438218554354012,37.936013,-122.026154
"132","Contra Costa",5,"weekday","SO2",0.0161654237288136,37.936013,-122.026154
"133","Contra Costa",5,"weekend","CO",0.00738900391074304,37.936013,-122.026154
"134","Contra Costa",5,"weekend","NO2",0.033475845410628,37.936013,-122.026154
"135","Contra Costa",5,"weekend","Ozone",0.452467218771567,37.936013,-122.026154
"136","Contra Costa",5,"weekend","SO2",0.0163222958057395,37.936013,-122.026154
"137","Contra Costa",6,"weekday","CO",0.00600452318130418,37.936013,-122.026154
"138","Contra Costa",6,"weekday","NO2",0.0445209580838323,37.936013,-122.026154
"139","Contra Costa",6,"weekday","Ozone",0.417721699458226,37.936013,-122.026154
"140","Contra Costa",6,"weekday","SO2",0.0175400900900901,37.936013,-122.026154
"141","Contra Costa",6,"weekend","CO",0.00636883116883117,37.936013,-122.026154
"142","Contra Costa",6,"weekend","NO2",0.0429843081312411,37.936013,-122.026154
"143","Contra Costa",6,"weekend","Ozone",0.475524760546158,37.936013,-122.026154
"144","Contra Costa",6,"weekend","SO2",0.0190461922596754,37.936013,-122.026154
"145","Contra Costa",7,"weekday","CO",0.00511236511236511,37.936013,-122.026154
