"","Latitude","Longitude","County","Month","Weekend_day","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego",1,"weekday","NO2",0.119517543859649
"2",32.579361,-116.929486,"San Diego",1,"weekday","Ozone",0.389191729323308
"3",32.579361,-116.929486,"San Diego",1,"weekend","NO2",0.0875909090909091
"4",32.579361,-116.929486,"San Diego",1,"weekend","Ozone",0.406883116883117
"5",32.579361,-116.929486,"San Diego",2,"weekday","NO2",0.120175054704595
"6",32.579361,-116.929486,"San Diego",2,"weekday","Ozone",0.50847139731166
"7",32.579361,-116.929486,"San Diego",2,"weekend","NO2",0.095625
"8",32.579361,-116.929486,"San Diego",2,"weekend","Ozone",0.602516233766234
"9",32.579361,-116.929486,"San Diego",3,"weekday","NO2",0.0816082474226804
"10",32.579361,-116.929486,"San Diego",3,"weekday","Ozone",0.529864903707962
"11",32.579361,-116.929486,"San Diego",3,"weekend","NO2",0.0325
"12",32.579361,-116.929486,"San Diego",3,"weekend","Ozone",0.540804597701149
"13",32.579361,-116.929486,"San Diego",4,"weekday","NO2",0.0806768558951965
"14",32.579361,-116.929486,"San Diego",4,"weekday","Ozone",0.571771678103556
"15",32.579361,-116.929486,"San Diego",4,"weekend","NO2",0.0483838383838384
"16",32.579361,-116.929486,"San Diego",4,"weekend","Ozone",0.599278499278499
"17",32.579361,-116.929486,"San Diego",5,"weekday","NO2",0.0367065868263473
"18",32.579361,-116.929486,"San Diego",5,"weekday","Ozone",0.530681494154548
"19",32.579361,-116.929486,"San Diego",5,"weekend","NO2",0.0212135922330097
"20",32.579361,-116.929486,"San Diego",5,"weekend","Ozone",0.532108183079057
"21",32.579361,-116.929486,"San Diego",6,"weekday","NO2",0.0519189765458422
"22",32.579361,-116.929486,"San Diego",6,"weekday","Ozone",0.504142552543405
"23",32.579361,-116.929486,"San Diego",6,"weekend","NO2",0.0604545454545455
"24",32.579361,-116.929486,"San Diego",6,"weekend","Ozone",0.533279220779221
"25",32.579361,-116.929486,"San Diego",7,"weekday","NO2",0.0456263736263736
"26",32.579361,-116.929486,"San Diego",7,"weekday","Ozone",0.48182103610675
"27",32.579361,-116.929486,"San Diego",7,"weekend","NO2",0.0313181818181818
"28",32.579361,-116.929486,"San Diego",7,"weekend","Ozone",0.472142857142857
"29",32.579361,-116.929486,"San Diego",8,"weekday","NO2",0.0398613861386139
"30",32.579361,-116.929486,"San Diego",8,"weekday","Ozone",0.505487977369165
"31",32.579361,-116.929486,"San Diego",8,"weekend","NO2",0.0215909090909091
"32",32.579361,-116.929486,"San Diego",8,"weekend","Ozone",0.530681818181818
"33",32.579361,-116.929486,"San Diego",9,"weekday","NO2",0.0738381742738589
"34",32.579361,-116.929486,"San Diego",9,"weekday","Ozone",0.459484291641968
"35",32.579361,-116.929486,"San Diego",9,"weekend","NO2",0.0531818181818182
"36",32.579361,-116.929486,"San Diego",9,"weekend","Ozone",0.539591836734694
"37",32.579361,-116.929486,"San Diego",10,"weekday","NO2",0.114730878186969
"38",32.579361,-116.929486,"San Diego",10,"weekday","Ozone",0.473230088495575
"39",32.579361,-116.929486,"San Diego",10,"weekend","NO2",0.114550561797753
"40",32.579361,-116.929486,"San Diego",10,"weekend","Ozone",0.481493506493506
"41",32.579361,-116.929486,"San Diego",11,"weekday","NO2",0.128776371308017
"42",32.579361,-116.929486,"San Diego",11,"weekday","Ozone",0.464734010759115
"43",32.579361,-116.929486,"San Diego",11,"weekend","NO2",0.130681818181818
"44",32.579361,-116.929486,"San Diego",11,"weekend","Ozone",0.484253246753247
"45",32.579361,-116.929486,"San Diego",12,"weekday","NO2",0.129125
"46",32.579361,-116.929486,"San Diego",12,"weekday","Ozone",0.363775510204082
"47",32.579361,-116.929486,"San Diego",12,"weekend","NO2",0.0706930693069307
"48",32.579361,-116.929486,"San Diego",12,"weekend","Ozone",0.458698727015559
"49",32.631231,-117.059075,"San Diego",1,"weekday","NO2",0.161550218340611
"50",32.631231,-117.059075,"San Diego",1,"weekday","Ozone",0.280722135007849
"51",32.631231,-117.059075,"San Diego",1,"weekend","NO2",0.117772727272727
"52",32.631231,-117.059075,"San Diego",1,"weekend","Ozone",0.327467532467532
"53",32.631231,-117.059075,"San Diego",2,"weekday","NO2",0.179519650655022
"54",32.631231,-117.059075,"San Diego",2,"weekday","Ozone",0.345882719900187
"55",32.631231,-117.059075,"San Diego",2,"weekend","NO2",0.140340909090909
"56",32.631231,-117.059075,"San Diego",2,"weekend","Ozone",0.403571428571429
"57",32.631231,-117.059075,"San Diego",3,"weekday","NO2",0.0889558232931727
"58",32.631231,-117.059075,"San Diego",3,"weekday","Ozone",0.419965918773076
"59",32.631231,-117.059075,"San Diego",3,"weekend","NO2",0.045
"60",32.631231,-117.059075,"San Diego",3,"weekend","Ozone",0.44788961038961
"61",32.631231,-117.059075,"San Diego",4,"weekday","NO2",0.0933333333333333
"62",32.631231,-117.059075,"San Diego",4,"weekday","Ozone",0.455520203627108
"63",32.631231,-117.059075,"San Diego",4,"weekend","NO2",0.0604545454545455
"64",32.631231,-117.059075,"San Diego",4,"weekend","Ozone",0.478427128427128
"65",32.631231,-117.059075,"San Diego",5,"weekday","NO2",0.030518018018018
"66",32.631231,-117.059075,"San Diego",5,"weekday","Ozone",0.499230295566502
"67",32.631231,-117.059075,"San Diego",5,"weekend","NO2",0.0267857142857143
"68",32.631231,-117.059075,"San Diego",5,"weekend","Ozone",0.489139941690962
"69",32.631231,-117.059075,"San Diego",6,"weekday","NO2",0.0434446764091858
"70",32.631231,-117.059075,"San Diego",6,"weekday","Ozone",0.468625111840143
"71",32.631231,-117.059075,"San Diego",6,"weekend","NO2",0.0515909090909091
"72",32.631231,-117.059075,"San Diego",6,"weekend","Ozone",0.476298701298701
"73",32.631231,-117.059075,"San Diego",7,"weekday","NO2",0.0363457330415755
"74",32.631231,-117.059075,"San Diego",7,"weekday","Ozone",0.441731791184745
"75",32.631231,-117.059075,"San Diego",7,"weekend","NO2",0.0241176470588235
"76",32.631231,-117.059075,"San Diego",7,"weekend","Ozone",0.42120232708468
"77",32.631231,-117.059075,"San Diego",8,"weekday","NO2",0.0345436507936508
"78",32.631231,-117.059075,"San Diego",8,"weekday","Ozone",0.466156462585034
"79",32.631231,-117.059075,"San Diego",8,"weekend","NO2",0.0285555555555556
"80",32.631231,-117.059075,"San Diego",8,"weekend","Ozone",0.499365079365079
"81",32.631231,-117.059075,"San Diego",9,"weekday","NO2",0.0808418891170431
"82",32.631231,-117.059075,"San Diego",9,"weekday","Ozone",0.412295081967213
"83",32.631231,-117.059075,"San Diego",9,"weekend","NO2",0.0710614525139665
"84",32.631231,-117.059075,"San Diego",9,"weekend","Ozone",0.483878691141261
"85",32.631231,-117.059075,"San Diego",10,"weekday","NO2",0.121241379310345
"86",32.631231,-117.059075,"San Diego",10,"weekday","Ozone",0.393492063492063
"87",32.631231,-117.059075,"San Diego",10,"weekend","NO2",0.0914090909090909
"88",32.631231,-117.059075,"San Diego",10,"weekend","Ozone",0.422597402597403
"89",32.631231,-117.059075,"San Diego",11,"weekday","NO2",0.152254697286013
"90",32.631231,-117.059075,"San Diego",11,"weekday","Ozone",0.351290516206483
"91",32.631231,-117.059075,"San Diego",11,"weekend","NO2",0.136818181818182
"92",32.631231,-117.059075,"San Diego",11,"weekend","Ozone",0.380275974025974
"93",32.631231,-117.059075,"San Diego",12,"weekday","NO2",0.159178947368421
"94",32.631231,-117.059075,"San Diego",12,"weekday","Ozone",0.262280962280962
"95",32.631231,-117.059075,"San Diego",12,"weekend","NO2",0.0977664974619289
"96",32.631231,-117.059075,"San Diego",12,"weekend","Ozone",0.36366932559826
"97",32.676186,-115.484144,"Imperial",1,"weekday","CO",0.0191081675081675
"98",32.676186,-115.484144,"Imperial",1,"weekday","NO2",0.185112033195021
"99",32.676186,-115.484144,"Imperial",1,"weekday","Ozone",0.276822762299941
"100",32.676186,-115.484144,"Imperial",1,"weekday","SO2",0.00873582295988935
"101",32.676186,-115.484144,"Imperial",1,"weekend","CO",0.015872298136646
"102",32.676186,-115.484144,"Imperial",1,"weekend","NO2",0.145413043478261
"103",32.676186,-115.484144,"Imperial",1,"weekend","Ozone",0.320062111801242
"104",32.676186,-115.484144,"Imperial",1,"weekend","SO2",0.00831304347826087
"105",32.676186,-115.484144,"Imperial",2,"weekday","CO",0.0163876431585292
"106",32.676186,-115.484144,"Imperial",2,"weekday","NO2",0.168892405063291
"107",32.676186,-115.484144,"Imperial",2,"weekday","Ozone",0.348945147679325
"108",32.676186,-115.484144,"Imperial",2,"weekday","SO2",0.0109507735583685
"109",32.676186,-115.484144,"Imperial",2,"weekend","CO",0.0150113354037267
"110",32.676186,-115.484144,"Imperial",2,"weekend","NO2",0.16825
"111",32.676186,-115.484144,"Imperial",2,"weekend","Ozone",0.409860248447205
"112",32.676186,-115.484144,"Imperial",2,"weekend","SO2",0.0100942028985507
"113",32.676186,-115.484144,"Imperial",3,"weekday","CO",0.00987800108636611
"114",32.676186,-115.484144,"Imperial",3,"weekday","NO2",0.121122605363985
"115",32.676186,-115.484144,"Imperial",3,"weekday","Ozone",0.509768707482993
"116",32.676186,-115.484144,"Imperial",3,"weekday","SO2",0.01204309252218
"117",32.676186,-115.484144,"Imperial",3,"weekend","CO",0.00832515527950311
"118",32.676186,-115.484144,"Imperial",3,"weekend","NO2",0.107021739130435
"119",32.676186,-115.484144,"Imperial",3,"weekend","Ozone",0.512111801242236
"120",32.676186,-115.484144,"Imperial",3,"weekend","SO2",0.0142536231884058
"121",32.676186,-115.484144,"Imperial",4,"weekday","CO",0.00882826354679803
"122",32.676186,-115.484144,"Imperial",4,"weekday","NO2",0.104658280922432
"123",32.676186,-115.484144,"Imperial",4,"weekday","Ozone",0.578256963162624
"124",32.676186,-115.484144,"Imperial",4,"weekday","SO2",0.0101800281293952
"125",32.676186,-115.484144,"Imperial",4,"weekend","CO",0.00786677367576244
"126",32.676186,-115.484144,"Imperial",4,"weekend","NO2",0.0841147540983607
"127",32.676186,-115.484144,"Imperial",4,"weekend","Ozone",0.539673913043478
"128",32.676186,-115.484144,"Imperial",4,"weekend","SO2",0.00773188405797101
"129",32.676186,-115.484144,"Imperial",5,"weekday","CO",0.00719891210993415
"130",32.676186,-115.484144,"Imperial",5,"weekday","NO2",0.0843326653306613
"131",32.676186,-115.484144,"Imperial",5,"weekday","Ozone",0.587662337662338
"132",32.676186,-115.484144,"Imperial",5,"weekday","SO2",0.0113953795379538
"133",32.676186,-115.484144,"Imperial",5,"weekend","CO",0.00530089717046239
"134",32.676186,-115.484144,"Imperial",5,"weekend","NO2",0.0492463768115942
"135",32.676186,-115.484144,"Imperial",5,"weekend","Ozone",0.601449275362319
"136",32.676186,-115.484144,"Imperial",5,"weekend","SO2",0.00894685990338164
"137",32.676186,-115.484144,"Imperial",6,"weekday","CO",0.0069927159796725
"138",32.676186,-115.484144,"Imperial",6,"weekday","NO2",0.0955494071146245
"139",32.676186,-115.484144,"Imperial",6,"weekday","Ozone",0.555615275813296
"140",32.676186,-115.484144,"Imperial",6,"weekday","SO2",0.0175151515151515
"141",32.676186,-115.484144,"Imperial",6,"weekend","CO",0.00543742236024845
"142",32.676186,-115.484144,"Imperial",6,"weekend","NO2",0.0594021739130435
"143",32.676186,-115.484144,"Imperial",6,"weekend","Ozone",0.567468944099379
"144",32.676186,-115.484144,"Imperial",6,"weekend","SO2",0.0088695652173913
"145",32.676186,-115.484144,"Imperial",7,"weekday","CO",0.00562665468703205
"146",32.676186,-115.484144,"Imperial",7,"weekday","NO2",0.0813752620545073
"147",32.676186,-115.484144,"Imperial",7,"weekday","Ozone",0.538634321653189
"148",32.676186,-115.484144,"Imperial",7,"weekday","SO2",0.0119207360226469
"149",32.676186,-115.484144,"Imperial",7,"weekend","CO",0.00449975155279503
"150",32.676186,-115.484144,"Imperial",7,"weekend","NO2",0.0556478260869565
"151",32.676186,-115.484144,"Imperial",7,"weekend","Ozone",0.475590062111801
"152",32.676186,-115.484144,"Imperial",7,"weekend","SO2",0.00902608695652174
"153",32.676186,-115.484144,"Imperial",8,"weekday","CO",0.00611988049972841
"154",32.676186,-115.484144,"Imperial",8,"weekday","NO2",0.0829601518026565
"155",32.676186,-115.484144,"Imperial",8,"weekday","Ozone",0.427506145861786
"156",32.676186,-115.484144,"Imperial",8,"weekday","SO2",0.0080381679389313
"157",32.676186,-115.484144,"Imperial",8,"weekend","CO",0.00567251552795031
"158",32.676186,-115.484144,"Imperial",8,"weekend","NO2",0.076054347826087
"159",32.676186,-115.484144,"Imperial",8,"weekend","Ozone",0.476766091051805
