County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,1,CO,0.013076995,37.743065,-122.169935
Alameda,1,NO2,0.142600048,37.687526,-121.784217
Alameda,1,Ozone,0.319046473,37.687526,-121.784217
Alameda,1,SO2,0.012514891,37.814781,-122.282347
Alameda,2,CO,0.009338998,37.743065,-122.169935
Alameda,2,NO2,0.077174389,37.687526,-121.784217
Alameda,2,Ozone,0.458348839,37.687526,-121.784217
Alameda,2,SO2,0.012040712,37.814781,-122.282347
Alameda,3,CO,0.011327645,37.743065,-122.169935
Alameda,3,NO2,0.083243757,37.687526,-121.784217
Alameda,3,Ozone,0.355880114,37.687526,-121.784217
Alameda,3,SO2,0.010730579,37.814781,-122.282347
Alameda,4,CO,0.015487818,37.743065,-122.169935
Alameda,4,NO2,0.141220402,37.687526,-121.784217
Alameda,4,Ozone,0.292467622,37.687526,-121.784217
Alameda,4,SO2,0.010268437,37.814781,-122.282347
Contra Costa,1,CO,0.011403691,37.936013,-122.026154
Contra Costa,1,NO2,0.077161051,37.936013,-122.026154
Contra Costa,1,Ozone,0.309824885,37.936013,-122.026154
Contra Costa,1,SO2,0.013580876,37.936013,-122.026154
Contra Costa,2,CO,0.007465453,37.936013,-122.026154
Contra Costa,2,NO2,0.044031337,37.936013,-122.026154
Contra Costa,2,Ozone,0.451514158,37.936013,-122.026154
Contra Costa,2,SO2,0.017010601,37.936013,-122.026154
Contra Costa,3,CO,0.007753937,37.936013,-122.026154
Contra Costa,3,NO2,0.046536895,37.936013,-122.026154
Contra Costa,3,Ozone,0.382175949,37.936013,-122.026154
Contra Costa,3,SO2,0.01642515,37.936013,-122.026154
Contra Costa,4,CO,0.010382758,37.936013,-122.026154
Contra Costa,4,NO2,0.084129174,37.936013,-122.026154
Contra Costa,4,Ozone,0.279644152,37.936013,-122.026154
Contra Costa,4,SO2,0.016411336,37.936013,-122.026154
Fresno,1,CO,0.011854004,36.785322,-119.774174
Fresno,1,NO2,0.107902275,36.705506,-119.741966
Fresno,1,Ozone,0.314403404,36.705506,-119.741966
Fresno,1,SO2,0.001012658,36.785322,-119.774174
Fresno,2,CO,0.005409849,36.785322,-119.774174
Fresno,2,NO2,0.07412613,36.705506,-119.741966
Fresno,2,Ozone,0.584123003,36.705506,-119.741966
Fresno,2,SO2,0.009090274,36.785322,-119.774174
Fresno,3,CO,0.006501361,36.785322,-119.774174
Fresno,3,NO2,0.10054343,36.705506,-119.741966
Fresno,3,Ozone,0.64628406,36.705506,-119.741966
Fresno,3,SO2,0.010947302,36.785322,-119.774174
Fresno,4,CO,0.009849395,36.785322,-119.774174
Fresno,4,NO2,0.140082062,36.705506,-119.741966
Fresno,4,Ozone,0.306651146,36.705506,-119.741966
Fresno,4,SO2,0.003675254,36.785322,-119.774174
Humboldt,1,CO,0.007505541,40.776944,-124.1775
Humboldt,1,NO2,0.020279969,40.776944,-124.1775
Humboldt,1,Ozone,0.39515616,40.776944,-124.1775
Humboldt,1,SO2,0.005175983,40.776944,-124.1775
