"","Latitude","Longitude","County","Season","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego",1,"NO2",0.0968629441624365
"2",32.579361,-116.929486,"San Diego",1,"Ozone",0.486284271284271
"3",32.579361,-116.929486,"San Diego",2,"NO2",0.0519322709163347
"4",32.579361,-116.929486,"San Diego",2,"Ozone",0.540993170176437
"5",32.579361,-116.929486,"San Diego",3,"NO2",0.0479294935451837
"6",32.579361,-116.929486,"San Diego",3,"Ozone",0.490646511957987
"7",32.579361,-116.929486,"San Diego",4,"NO2",0.118727858293076
"8",32.579361,-116.929486,"San Diego",4,"Ozone",0.445615911035073
"9",32.631231,-117.059075,"San Diego",1,"NO2",0.13043303121853
"10",32.631231,-117.059075,"San Diego",1,"Ozone",0.361813739580339
"11",32.631231,-117.059075,"San Diego",2,"NO2",0.0524571428571429
"12",32.631231,-117.059075,"San Diego",2,"Ozone",0.476590942187272
"13",32.631231,-117.059075,"San Diego",3,"NO2",0.0476232741617357
"14",32.631231,-117.059075,"San Diego",3,"Ozone",0.447313947757516
"15",32.631231,-117.059075,"San Diego",4,"NO2",0.133567103935419
"16",32.631231,-117.059075,"San Diego",4,"Ozone",0.350992857142857
"17",32.676186,-115.484144,"Imperial",1,"CO",0.0144777021919879
"18",32.676186,-115.484144,"Imperial",1,"NO2",0.152504816955684
"19",32.676186,-115.484144,"Imperial",1,"Ozone",0.389472960901532
"20",32.676186,-115.484144,"Imperial",1,"SO2",0.0106384615384615
"21",32.676186,-115.484144,"Imperial",2,"CO",0.0072251927660171
"22",32.676186,-115.484144,"Imperial",2,"NO2",0.0860257782101167
"23",32.676186,-115.484144,"Imperial",2,"Ozone",0.572945086905339
"24",32.676186,-115.484144,"Imperial",2,"SO2",0.0118200647249191
"25",32.676186,-115.484144,"Imperial",3,"CO",0.00582516942260775
"26",32.676186,-115.484144,"Imperial",3,"NO2",0.0788677098150782
"27",32.676186,-115.484144,"Imperial",3,"Ozone",0.472740247383444
"28",32.676186,-115.484144,"Imperial",3,"SO2",0.00803874861044942
"29",32.676186,-115.484144,"Imperial",4,"CO",0.0125183809071801
"30",32.676186,-115.484144,"Imperial",4,"NO2",0.142559655007187
"31",32.676186,-115.484144,"Imperial",4,"Ozone",0.362975899406217
"32",32.676186,-115.484144,"Imperial",4,"SO2",0.00711638203668564
"33",32.701492,-117.149653,"San Diego",1,"CO",0.012721552176193
"34",32.701492,-117.149653,"San Diego",1,"NO2",0.184915514592934
"35",32.701492,-117.149653,"San Diego",1,"Ozone",0.344031810885743
"36",32.701492,-117.149653,"San Diego",2,"CO",0.00557053941908714
"37",32.701492,-117.149653,"San Diego",2,"NO2",0.0793667679837893
"38",32.701492,-117.149653,"San Diego",2,"Ozone",0.469919110212336
"39",32.701492,-117.149653,"San Diego",3,"CO",0.00523565573770492
"40",32.701492,-117.149653,"San Diego",3,"NO2",0.0785678642714571
"41",32.701492,-117.149653,"San Diego",3,"Ozone",0.431234382808596
"42",32.701492,-117.149653,"San Diego",4,"CO",0.0102857142857143
"43",32.701492,-117.149653,"San Diego",4,"NO2",0.156327345309381
"44",32.701492,-117.149653,"San Diego",4,"Ozone",0.409410430839002
"45",32.725226,-116.365203,"San Diego",1,"Ozone",0.66984126984127
"46",32.725226,-116.365203,"San Diego",2,"Ozone",0.739287366959741
"47",32.725226,-116.365203,"San Diego",3,"Ozone",0.732544807590933
"48",32.725226,-116.365203,"San Diego",4,"Ozone",0.611868755063462
"49",32.789561,-116.944222,"San Diego",3,"CO",0.0070214824391295
