"","Latitude","Longitude","County","Weekend_day","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego","weekday","NO2",0.0840699551569507
"2",32.579361,-116.929486,"San Diego","weekday","Ozone",0.482332546103211
"3",32.579361,-116.929486,"San Diego","weekend","NO2",0.0632149122807018
"4",32.579361,-116.929486,"San Diego","weekend","Ozone",0.511987925830099
"5",32.631231,-117.059075,"San Diego","weekday","NO2",0.0980841955048163
"6",32.631231,-117.059075,"San Diego","weekday","Ozone",0.400156376109766
"7",32.631231,-117.059075,"San Diego","weekend","NO2",0.0740691144708423
"8",32.631231,-117.059075,"San Diego","weekend","Ozone",0.430867016352977
"9",32.676186,-115.484144,"Imperial","weekday","CO",0.0102787840922744
"10",32.676186,-115.484144,"Imperial","weekday","NO2",0.120521812363146
"11",32.676186,-115.484144,"Imperial","weekday","Ozone",0.444512795866875
"12",32.676186,-115.484144,"Imperial","weekday","SO2",0.00952029107192835
"13",32.676186,-115.484144,"Imperial","weekend","CO",0.00937260159195643
"14",32.676186,-115.484144,"Imperial","weekend","NO2",0.101122961104141
"15",32.676186,-115.484144,"Imperial","weekend","Ozone",0.462908337396392
"16",32.676186,-115.484144,"Imperial","weekend","SO2",0.0090546265328874
"17",32.701492,-117.149653,"San Diego","weekday","CO",0.00825998645903859
"18",32.701492,-117.149653,"San Diego","weekday","NO2",0.125022026431718
"19",32.701492,-117.149653,"San Diego","weekday","Ozone",0.405636454933467
"20",32.701492,-117.149653,"San Diego","weekend","CO",0.00739978331527627
"21",32.701492,-117.149653,"San Diego","weekend","NO2",0.0982980972515856
"22",32.701492,-117.149653,"San Diego","weekend","Ozone",0.43721545791424
"23",32.725226,-116.365203,"San Diego","weekday","Ozone",0.697192457067989
"24",32.725226,-116.365203,"San Diego","weekend","Ozone",0.668386401044327
"25",32.789561,-116.944222,"San Diego","weekday","CO",0.00986125016044154
"26",32.789561,-116.944222,"San Diego","weekday","NO2",0.115654632448891
"27",32.789561,-116.944222,"San Diego","weekday","Ozone",0.400484672240397
"28",32.789561,-116.944222,"San Diego","weekday","SO2",0.00117481680873336
"29",32.789561,-116.944222,"San Diego","weekend","CO",0.00912657353162085
"30",32.789561,-116.944222,"San Diego","weekend","NO2",0.0989821615949633
"31",32.789561,-116.944222,"San Diego","weekend","Ozone",0.438987196086894
"32",32.789561,-116.944222,"San Diego","weekend","SO2",0.000953382404486506
"33",32.79222,-115.56306,"Imperial","weekday","CO",0.00282932049224184
"34",32.79222,-115.56306,"Imperial","weekday","NO2",0.0545892796753466
"35",32.79222,-115.56306,"Imperial","weekday","Ozone",0.494485819604303
"36",32.79222,-115.56306,"Imperial","weekend","CO",0.00219053451141632
"37",32.79222,-115.56306,"Imperial","weekend","NO2",0.040128364389234
"38",32.79222,-115.56306,"Imperial","weekend","Ozone",0.497762148337596
"39",32.817978,-116.968133,"San Diego","weekday","CO",0.00856612677240374
"40",32.817978,-116.968133,"San Diego","weekday","NO2",0.100732412463861
"41",32.817978,-116.968133,"San Diego","weekday","Ozone",0.441153425655977
"42",32.817978,-116.968133,"San Diego","weekday","SO2",0.00153747126436782
"43",32.817978,-116.968133,"San Diego","weekend","CO",0.0075844387755102
"44",32.817978,-116.968133,"San Diego","weekend","NO2",0.0626043276661515
"45",32.817978,-116.968133,"San Diego","weekend","Ozone",0.482000841573743
"46",32.817978,-116.968133,"San Diego","weekend","SO2",0.0010982905982906
"47",32.842242,-116.768225,"San Diego","weekday","NO2",0.0426986961957492
"48",32.842242,-116.768225,"San Diego","weekday","Ozone",0.620171662888725
"49",32.842242,-116.768225,"San Diego","weekend","NO2",0.0306563039723661
"50",32.842242,-116.768225,"San Diego","weekend","Ozone",0.637694300518135
"51",32.845467,-117.123894,"San Diego","weekday","NO2",0.103503051106026
"52",32.845467,-117.123894,"San Diego","weekday","Ozone",0.444641556549787
"53",32.845467,-117.123894,"San Diego","weekend","NO2",0.0655015466195316
"54",32.845467,-117.123894,"San Diego","weekend","Ozone",0.492296250387357
"55",32.952124,-117.264088,"San Diego","weekday","Ozone",0.47184894442251
"56",32.952124,-117.264088,"San Diego","weekend","Ozone",0.494920634920635
"57",32.985442,-117.08218,"San Diego","weekday","CO",0.0165036718610066
"58",32.985442,-117.08218,"San Diego","weekday","NO2",0.184836376785391
"59",32.985442,-117.08218,"San Diego","weekend","CO",0.0164381292213585
"60",32.985442,-117.08218,"San Diego","weekend","NO2",0.133866369710468
"61",33.0325,-115.62361,"Imperial","weekday","Ozone",0.420277777777778
"62",33.0325,-115.62361,"Imperial","weekend","Ozone",0.417541588452327
"63",33.213611,-115.54528,"Imperial","weekday","Ozone",0.385579730381579
"64",33.213611,-115.54528,"Imperial","weekend","Ozone",0.38134280593958
"65",33.217025,-117.396158,"San Diego","weekday","NO2",0.0698792494891325
"66",33.217025,-117.396158,"San Diego","weekday","Ozone",0.504011118904736
"67",33.217025,-117.396158,"San Diego","weekend","NO2",0.0478870106761566
"68",33.217025,-117.396158,"San Diego","weekend","Ozone",0.532571428571428
"69",33.362593,-117.09023,"San Diego","weekday","Ozone",0.418069041145964
"70",33.362593,-117.09023,"San Diego","weekend","Ozone",0.427847740612001
