"","Latitude","Longitude","County","Hour","Season","Pollutant","Sample"
"1",32.579361,-116.929486,"San Diego","00",1,"NO2",0.113186813186813
"2",32.579361,-116.929486,"San Diego","00",1,"Ozone",0.37817896389325
"3",32.579361,-116.929486,"San Diego","00",2,"NO2",0.049010989010989
"4",32.579361,-116.929486,"San Diego","00",2,"Ozone",0.445368916797488
"5",32.579361,-116.929486,"San Diego","00",3,"NO2",0.0418478260869565
"6",32.579361,-116.929486,"San Diego","00",3,"Ozone",0.368944099378882
"7",32.579361,-116.929486,"San Diego","00",4,"NO2",0.135172413793103
"8",32.579361,-116.929486,"San Diego","00",4,"Ozone",0.343788819875776
"9",32.579361,-116.929486,"San Diego","01",1,"NO2",0.106739130434783
"10",32.579361,-116.929486,"San Diego","01",1,"Ozone",0.37111801242236
"11",32.579361,-116.929486,"San Diego","01",2,"NO2",0.0441818181818182
"12",32.579361,-116.929486,"San Diego","01",2,"Ozone",0.442337662337662
"13",32.579361,-116.929486,"San Diego","01",3,"NO2",0.0417391304347826
"14",32.579361,-116.929486,"San Diego","01",3,"Ozone",0.362732919254658
"15",32.579361,-116.929486,"San Diego","01",4,"NO2",0.106739130434783
"16",32.579361,-116.929486,"San Diego","01",4,"Ozone",0.367055393586006
"17",32.579361,-116.929486,"San Diego","02",2,"NO2",0.0236842105263158
"18",32.579361,-116.929486,"San Diego","02",2,"Ozone",0.464661654135338
"19",32.579361,-116.929486,"San Diego","02",4,"NO2",0.1175
"20",32.579361,-116.929486,"San Diego","02",4,"Ozone",0.35
"21",32.579361,-116.929486,"San Diego","03",1,"NO2",0.0777777777777778
"22",32.579361,-116.929486,"San Diego","03",1,"Ozone",0.404545454545454
"23",32.579361,-116.929486,"San Diego","03",2,"NO2",0.0530909090909091
"24",32.579361,-116.929486,"San Diego","03",2,"Ozone",0.411168831168831
"25",32.579361,-116.929486,"San Diego","03",3,"NO2",0.061304347826087
"26",32.579361,-116.929486,"San Diego","03",3,"Ozone",0.301863354037267
"27",32.579361,-116.929486,"San Diego","03",4,"NO2",0.121111111111111
"28",32.579361,-116.929486,"San Diego","03",4,"Ozone",0.337689969604863
"29",32.579361,-116.929486,"San Diego","04",1,"NO2",0.078021978021978
"30",32.579361,-116.929486,"San Diego","04",1,"Ozone",0.395133437990581
"31",32.579361,-116.929486,"San Diego","04",2,"NO2",0.0697802197802198
