,County,Pollutant,Dayofweek,Hour,Season,Sample
1,Alameda,CO,Sun,0,1,0.013684211
2,Alameda,CO,Sun,0,2,0.009377289
3,Alameda,CO,Sun,0,3,0.01047619
4,Alameda,CO,Sun,0,4,0.018114286
5,Alameda,CO,Sun,1,1,0.013458647
6,Alameda,CO,Sun,1,2,0.00967033
7,Alameda,CO,Sun,1,3,0.010364146
8,Alameda,CO,Sun,1,4,0.017485714
9,Alameda,CO,Sun,2,1,0.01021978
10,Alameda,CO,Sun,2,2,0.008681319
11,Alameda,CO,Sun,2,3,0.008791209
12,Alameda,CO,Sun,2,4,0.012747253
13,Alameda,CO,Sun,3,1,0.01547619
14,Alameda,CO,Sun,3,2,0.01032967
15,Alameda,CO,Sun,3,3,0.010514286
16,Alameda,CO,Sun,3,4,0.017738095
17,Alameda,CO,Sun,4,1,0.011503759
18,Alameda,CO,Sun,4,2,0.00989011
19,Alameda,CO,Sun,4,3,0.010196078
20,Alameda,CO,Sun,4,4,0.013760933
21,Alameda,CO,Sun,5,1,0.012406015
22,Alameda,CO,Sun,5,2,0.010989011
23,Alameda,CO,Sun,5,3,0.01092437
24,Alameda,CO,Sun,5,4,0.014110787
25,Alameda,CO,Sun,6,1,0.012932331
26,Alameda,CO,Sun,6,2,0.010695971
27,Alameda,CO,Sun,6,3,0.011764706
28,Alameda,CO,Sun,6,4,0.01516035
29,Alameda,CO,Sun,7,1,0.014661654
30,Alameda,CO,Sun,7,2,0.01003663
31,Alameda,CO,Sun,7,3,0.01210084
32,Alameda,CO,Sun,7,4,0.017026239
33,Alameda,CO,Sun,8,1,0.013157895
34,Alameda,CO,Sun,8,2,0.01003663
35,Alameda,CO,Sun,8,3,0.012492997
36,Alameda,CO,Sun,8,4,0.016914286
37,Alameda,CO,Sun,9,1,0.011428571
38,Alameda,CO,Sun,9,2,0.00981685
39,Alameda,CO,Sun,9,3,0.012380952
40,Alameda,CO,Sun,9,4,0.016171429
41,Alameda,CO,Sun,10,1,0.01112782
42,Alameda,CO,Sun,10,2,0.00967033
43,Alameda,CO,Sun,10,3,0.012156863
44,Alameda,CO,Sun,10,4,0.0148
45,Alameda,CO,Sun,11,1,0.010827068
46,Alameda,CO,Sun,11,2,0.00974359
47,Alameda,CO,Sun,11,3,0.011932773
48,Alameda,CO,Sun,11,4,0.013485714
49,Alameda,CO,Sun,12,1,0.010300752
50,Alameda,CO,Sun,12,2,0.00952381
51,Alameda,CO,Sun,12,3,0.011988796
52,Alameda,CO,Sun,12,4,0.013714286
53,Alameda,CO,Sun,13,1,0.010150376
54,Alameda,CO,Sun,13,2,0.009304029
55,Alameda,CO,Sun,13,3,0.011988796
56,Alameda,CO,Sun,13,4,0.0132
57,Alameda,CO,Sun,14,1,0.010150376
58,Alameda,CO,Sun,14,2,0.009450549
59,Alameda,CO,Sun,14,3,0.012114286
60,Alameda,CO,Sun,14,4,0.013257143
61,Alameda,CO,Sun,15,1,0.010300752
62,Alameda,CO,Sun,15,2,0.00959707
63,Alameda,CO,Sun,15,3,0.012057143
64,Alameda,CO,Sun,15,4,0.013257143
65,Alameda,CO,Sun,16,1,0.010902256
66,Alameda,CO,Sun,16,2,0.009377289
67,Alameda,CO,Sun,16,3,0.012057143
68,Alameda,CO,Sun,16,4,0.014
69,Alameda,CO,Sun,17,1,0.010902256
70,Alameda,CO,Sun,17,2,0.008937729
71,Alameda,CO,Sun,17,3,0.011828571
72,Alameda,CO,Sun,17,4,0.014857143
73,Alameda,CO,Sun,18,1,0.011203008
74,Alameda,CO,Sun,18,2,0.009304029
75,Alameda,CO,Sun,18,3,0.012303207
76,Alameda,CO,Sun,18,4,0.015485714
77,Alameda,CO,Sun,19,1,0.012180451
78,Alameda,CO,Sun,19,2,0.00981685
79,Alameda,CO,Sun,19,3,0.011876751
80,Alameda,CO,Sun,19,4,0.016571429
81,Alameda,CO,Sun,20,1,0.013609023
82,Alameda,CO,Sun,20,2,0.009084249
83,Alameda,CO,Sun,20,3,0.011988796
84,Alameda,CO,Sun,20,4,0.016685714
85,Alameda,CO,Sun,21,1,0.013984962
86,Alameda,CO,Sun,21,2,0.008937729
87,Alameda,CO,Sun,21,3,0.011540616
88,Alameda,CO,Sun,21,4,0.016057143
89,Alameda,CO,Sun,22,1,0.013308271
90,Alameda,CO,Sun,22,2,0.008278388
91,Alameda,CO,Sun,22,3,0.011148459
92,Alameda,CO,Sun,22,4,0.0164
93,Alameda,CO,Sun,23,1,0.013007519
94,Alameda,CO,Sun,23,2,0.008058608
95,Alameda,CO,Sun,23,3,0.011036415
96,Alameda,CO,Sun,23,4,0.016
97,Alameda,CO,Mon,0,1,0.011428571
98,Alameda,CO,Mon,0,2,0.007765568
99,Alameda,CO,Mon,0,3,0.010084034
100,Alameda,CO,Mon,0,4,0.014685714
101,Alameda,CO,Mon,1,1,0.010676692
102,Alameda,CO,Mon,1,2,0.007545788
103,Alameda,CO,Mon,1,3,0.009859944
104,Alameda,CO,Mon,1,4,0.0144
105,Alameda,CO,Mon,2,1,0.009469388
106,Alameda,CO,Mon,2,2,0.007472527
107,Alameda,CO,Mon,2,3,0.008571429
108,Alameda,CO,Mon,2,4,0.012741313
109,Alameda,CO,Mon,3,2,0.008571429
110,Alameda,CO,Mon,3,3,0.014285714
111,Alameda,CO,Mon,3,4,0.016043956
112,Alameda,CO,Mon,4,1,0.010122449
113,Alameda,CO,Mon,4,2,0.009450549
114,Alameda,CO,Mon,4,3,0.011988796
115,Alameda,CO,Mon,4,4,0.015142857
116,Alameda,CO,Mon,5,1,0.011673469
117,Alameda,CO,Mon,5,2,0.010526316
118,Alameda,CO,Mon,5,3,0.013257143
119,Alameda,CO,Mon,5,4,0.016011905
120,Alameda,CO,Mon,6,1,0.01452381
121,Alameda,CO,Mon,6,2,0.011042471
122,Alameda,CO,Mon,6,3,0.01372549
123,Alameda,CO,Mon,6,4,0.018723404
124,Alameda,CO,Mon,7,1,0.017065637
125,Alameda,CO,Mon,7,2,0.010501931
126,Alameda,CO,Mon,7,3,0.013428571
127,Alameda,CO,Mon,7,4,0.020790274
128,Alameda,CO,Mon,8,1,0.016315789
129,Alameda,CO,Mon,8,2,0.01018315
130,Alameda,CO,Mon,8,3,0.012321429
131,Alameda,CO,Mon,8,4,0.0184
132,Alameda,CO,Mon,9,1,0.014362934
133,Alameda,CO,Mon,9,2,0.009699248
134,Alameda,CO,Mon,9,3,0.012142857
135,Alameda,CO,Mon,9,4,0.015257143
136,Alameda,CO,Mon,10,1,0.012586873
137,Alameda,CO,Mon,10,2,0.01047619
138,Alameda,CO,Mon,10,3,0.011661808
139,Alameda,CO,Mon,10,4,0.013392857
140,Alameda,CO,Mon,11,1,0.011503759
141,Alameda,CO,Mon,11,2,0.00957529
142,Alameda,CO,Mon,11,3,0.011314286
143,Alameda,CO,Mon,11,4,0.012644377
144,Alameda,CO,Mon,12,1,0.011052632
145,Alameda,CO,Mon,12,2,0.009420849
146,Alameda,CO,Mon,12,3,0.011371429
147,Alameda,CO,Mon,12,4,0.012440476
148,Alameda,CO,Mon,13,1,0.010075188
149,Alameda,CO,Mon,13,2,0.009189189
150,Alameda,CO,Mon,13,3,0.011078717
151,Alameda,CO,Mon,13,4,0.011953353
152,Alameda,CO,Mon,14,1,0.010225564
153,Alameda,CO,Mon,14,2,0.009420849
154,Alameda,CO,Mon,14,3,0.011257143
155,Alameda,CO,Mon,14,4,0.011828571
156,Alameda,CO,Mon,15,1,0.010150376
157,Alameda,CO,Mon,15,2,0.009323308
158,Alameda,CO,Mon,15,3,0.011428571
159,Alameda,CO,Mon,15,4,0.012114286
160,Alameda,CO,Mon,16,1,0.01075188
161,Alameda,CO,Mon,16,2,0.009172932
162,Alameda,CO,Mon,16,3,0.011253644
163,Alameda,CO,Mon,16,4,0.012228571
164,Alameda,CO,Mon,17,1,0.011353383
165,Alameda,CO,Mon,17,2,0.008947368
166,Alameda,CO,Mon,17,3,0.011370262
167,Alameda,CO,Mon,17,4,0.013085714
168,Alameda,CO,Mon,18,1,0.013308271
169,Alameda,CO,Mon,18,2,0.00924812
170,Alameda,CO,Mon,18,3,0.011720117
171,Alameda,CO,Mon,18,4,0.014457143
172,Alameda,CO,Mon,19,1,0.014285714
173,Alameda,CO,Mon,19,2,0.009022556
174,Alameda,CO,Mon,19,3,0.011895044
175,Alameda,CO,Mon,19,4,0.015142857
176,Alameda,CO,Mon,20,1,0.015413534
177,Alameda,CO,Mon,20,2,0.008796992
178,Alameda,CO,Mon,20,3,0.011253644
179,Alameda,CO,Mon,20,4,0.0156
180,Alameda,CO,Mon,21,1,0.015037594
181,Alameda,CO,Mon,21,2,0.008796992
182,Alameda,CO,Mon,21,3,0.010845481
183,Alameda,CO,Mon,21,4,0.015942857
184,Alameda,CO,Mon,22,1,0.015037594
185,Alameda,CO,Mon,22,2,0.008796992
186,Alameda,CO,Mon,22,3,0.010204082
187,Alameda,CO,Mon,22,4,0.016057143
188,Alameda,CO,Mon,23,1,0.014661654
189,Alameda,CO,Mon,23,2,0.008120301
190,Alameda,CO,Mon,23,3,0.009912536
191,Alameda,CO,Mon,23,4,0.014685714
192,Alameda,CO,Tue,0,1,0.014511278
193,Alameda,CO,Tue,0,2,0.008195489
194,Alameda,CO,Tue,0,3,0.009854227
195,Alameda,CO,Tue,0,4,0.013714286
196,Alameda,CO,Tue,1,1,0.013759398
197,Alameda,CO,Tue,1,2,0.007969925
198,Alameda,CO,Tue,1,3,0.009329446
199,Alameda,CO,Tue,1,4,0.012457143
200,Alameda,CO,Tue,2,1,0.013759398
201,Alameda,CO,Tue,2,2,0.007669173
202,Alameda,CO,Tue,2,3,0.008015873
203,Alameda,CO,Tue,2,4,0.011505792
204,Alameda,CO,Tue,3,3,0.014285714
205,Alameda,CO,Tue,3,4,0.015384615
206,Alameda,CO,Tue,4,1,0.012706767
207,Alameda,CO,Tue,4,2,0.01037594
208,Alameda,CO,Tue,4,3,0.010962099
209,Alameda,CO,Tue,4,4,0.013885714
210,Alameda,CO,Tue,5,1,0.015112782
211,Alameda,CO,Tue,5,2,0.011954887
212,Alameda,CO,Tue,5,3,0.012594752
213,Alameda,CO,Tue,5,4,0.01672619
214,Alameda,CO,Tue,6,1,0.02
215,Alameda,CO,Tue,6,2,0.012123552
216,Alameda,CO,Tue,6,3,0.013571429
217,Alameda,CO,Tue,6,4,0.018358663
218,Alameda,CO,Tue,7,1,0.022084942
219,Alameda,CO,Tue,7,2,0.012063492
220,Alameda,CO,Tue,7,3,0.0132
221,Alameda,CO,Tue,7,4,0.021011905
222,Alameda,CO,Tue,8,1,0.021052632
223,Alameda,CO,Tue,8,2,0.012105263
224,Alameda,CO,Tue,8,3,0.01232493
225,Alameda,CO,Tue,8,4,0.019495798
