Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
US,397.4,428.3,452.2,484.1,521.1,549.2,566.2,572.0,567.3,547.6,502.7,512.7,502.2,504.0,520.8,509.9,497.6,462.6,434.0,463.5,446.1,418.1,444.5,464.9,494.0,494.0,504.8,522.0,535.0,547.5,571.3,581.7,585.2,575.3,577.3,600.4,573.9,592.4,575.3,577.7,568.6,560.4,596.3,600.8,590.1,619.3,628.8,657.4,675.5,690.0,710.5,716.3,0.5%,2.3%,22.4%
Canada,20.5,22.4,23.8,26.5,29.6,32.7,34.9,39.3,41.8,42.2,43.6,44.0,46.2,46.6,47.3,47.0,45.6,48.3,46.1,51.1,53.6,51.6,52.2,57.5,62.2,60.2,60.7,64.3,68.2,70.6,74.2,77.9,78.5,75.1,78.6,83.4,79.4,81.2,87.9,85.6,88.0,87.3,86.6,86.5,85.4,85.5,90.8,90.2,93.5,93.8,92.2,89.9,--2.8%,0.5%,2.8%
Mexico,7.5,7.9,6.8,7.3,9.0,9.2,9.5,10.2,11.3,11.9,12.1,11.9,12.5,15.8,19.1,20.7,22.4,24.5,25.1,25.4,25.9,23.0,23.4,23.6,22.9,24.8,26.3,26.3,26.8,28.4,28.3,29.8,32.1,35.3,34.8,36.7,38.1,41.8,46.2,48.8,54.8,59.9,57.1,59.7,65.0,65.2,68.9,71.9,74.9,78.1,78.4,80.6,2.5%,3.6%,2.5%
Total North America,425.4,458.6,482.8,517.9,559.7,591.2,610.7,621.5,620.4,601.8,558.4,568.6,560.9,566.4,587.2,577.6,565.7,535.3,505.1,540.1,525.6,492.7,520.1,546.0,579.0,579.0,591.8,612.5,629.9,646.6,673.8,689.5,695.7,685.7,690.7,720.5,691.3,715.4,709.4,712.1,711.5,707.6,739.9,747.0,740.5,770.0,788.6,819.5,843.9,862.0,881.2,886.8,0.4%,2.2%,27.7%
Argentina,3.8,4.1,4.3,4.8,4.8,5.4,5.6,6.4,7.2,7.1,7.9,8.3,8.6,8.3,9.1,10.1,10.5,11.3,12.6,13.4,13.8,15.9,16.1,18.7,20.0,18.8,20.0,20.7,20.3,21.1,23.4,25.8,26.3,27.3,29.8,31.2,29.2,28.8,31.7,34.1,36.4,37.6,39.5,40.0,37.9,39.0,40.6,42.1,42.1,42.5,43.4,44.6,2.7%,1.8%,1.4%
Brazil,^,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.8,0.9,0.8,1.1,1.5,1.8,2.3,2.6,2.9,2.9,3.0,2.8,2.9,3.2,3.8,4.1,4.6,5.0,5.5,5.7,6.8,8.5,10.7,12.7,14.2,16.9,17.6,18.5,19.1,22.4,18.1,24.1,24.0,28.5,33.6,35.6,37.5,32.9,--12.5%,7.9%,1.0%
Chile,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.9,1.4,1.5,1.5,1.7,1.7,1.7,1.6,1.6,2.2,3.1,4.2,5.4,6.2,6.2,6.7,7.3,7.0,6.5,3.8,2.1,2.2,4.4,4.5,4.1,4.1,3.4,3.7,4.1,11.1%,--6.3%,0.1%
Colombia,0.8,0.9,1.1,1.1,1.2,1.2,1.1,1.4,1.4,1.5,1.4,1.5,1.7,2.1,2.2,2.4,2.6,2.8,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.2,3.3,3.3,3.4,3.4,3.6,3.9,4.9,5.7,4.9,5.4,5.6,5.6,5.4,5.7,6.0,6.3,6.7,6.8,7.8,8.2,8.0,8.9,9.0,9.8,9.6,9.5,--1.6%,4.8%,0.3%
Ecuador,-,-,-,-,-,0.1,0.1,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,^,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,1.5%,6.9%,♦
Peru,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.3,0.3,0.4,0.5,0.8,1.4,1.6,2.4,3.1,3.1,4.4,5.0,5.5,5.4,6.1,6.4,7.1,9.8%,16.8%,0.2%
Trinidad & Tobago,1.1,1.2,1.4,1.4,1.4,1.6,1.6,1.7,1.6,1.5,1.3,1.5,1.7,2.1,2.2,2.4,2.7,3.3,3.4,3.5,3.6,3.7,3.9,4.5,4.5,4.7,5.1,5.0,5.6,6.4,6.8,7.7,8.4,8.4,8.6,8.7,10.0,10.8,12.0,13.2,14.7,19.1,19.7,19.2,19.9,20.9,21.0,20.0,20.2,19.8,19.4,17.2,--11.4%,2.8%,0.5%
Venezuela,6.1,6.4,7.0,7.2,7.4,6.9,6.7,6.7,8.2,8.7,8.5,10.5,11.5,11.6,12.9,13.3,13.4,14.3,14.1,15.6,15.6,17.2,16.7,17.1,17.6,19.8,19.7,19.5,21.0,22.2,24.8,26.8,27.7,29.1,24.7,25.1,26.6,25.6,22.7,25.6,24.7,28.3,32.6,30.9,29.0,29.0,26.7,28.3,27.5,27.7,31.1,32.0,2.7%,2.3%,1.0%
