Million tonnes oil equivalent,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
US,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.8,0.9,0.9,0.8,1.0,1.3,1.4,1.2,1.5,2.0,2.5,2.7,2.8,2.8,11.1,13.0,13.7,14.7,15.1,15.0,14.3,14.7,14.9,14.8,15.0,15.1,15.1,16.2,16.1,16.3,16.4,16.5,16.7,16.6,16.6,17.0,17.1,17.4,18.3,19.0,18.9,19.1,0.8%,1.4%,15.1%
Canada,-,-,-,-,-,-,-,-,-,-,-,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.8,0.9,0.9,1.0,1.1,1.3,1.5,1.6,1.8,1.9,1.9,1.9,2.1,2.2,2.0,2.1,2.0,1.9,1.9,1.7,1.9,2.2,2.2,2.3,2.4,1.9,2.3,2.3,♦,1.6%,1.8%
Mexico,-,-,-,-,-,-,-,-,^,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.4,1.5,1.4,1.3,1.4,1.4,1.4,1.4,1.4,1.6,1.6,1.8,1.7,1.9,1.8,1.7,1.7,1.7,1.5,1.7,1.6,1.7,1.6,--3.3%,--0.9%,1.3%
Total North America,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.7,0.9,1.2,1.3,1.2,1.6,1.8,2.1,2.0,2.3,2.9,3.2,3.8,4.4,4.4,12.9,15.1,15.9,17.1,17.7,17.7,17.3,17.7,18.0,18.2,18.3,18.4,18.6,19.8,19.7,20.0,20.2,20.2,20.5,20.1,20.2,20.9,21.0,21.3,22.3,22.5,22.9,23.1,0.4%,1.3%,18.2%
Argentina,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.5,8.6%,6.3%,0.4%
Brazil,-,-,-,-,-,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.1,1.1,1.2,1.3,1.5,1.7,1.7,1.9,1.8,2.0,2.3,2.7,2.8,3.1,3.3,4.1,4.4,5.1,7.1,7.3,8.0,9.2,10.5,11.1,11.5,3.6%,13.7%,9.1%
Chile,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.5,0.4,0.4,0.5,0.4,0.3,0.6,0.7,1.0,0.5,1.1,1.1,1.3,1.2,1.1,1.2,4.9%,10.8%,0.9%
Colombia,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,0.1,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,17.2%,13.2%,0.4%
Ecuador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.1,0.1,19.8%,14.8%,0.1%
Peru,-,-,-,-,-,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,12.9%,11.9%,0.2%
