gid,time,value,lon,lat
273,2016-11-01 00:00:00-07,41.33988569179669,-118.45299103449923,34.003429618055044
188,2016-11-01 00:00:00-07,41.33560608904649,-118.4520433770559,33.94023038578518
253,2016-11-01 00:00:00-07,48.00214034238435,-118.41270724378344,33.996404468928716
281,2016-11-01 00:00:00-07,45.30509554346988,-118.31052789227303,34.03456318780148
528,2016-11-01 00:00:00-07,41.62734667370555,-118.25475258794081,34.22101148522461
391,2016-11-01 00:00:00-07,44.34632393517425,-118.1329482758672,34.13642742552598
282,2016-11-01 00:00:00-07,46.10781334650019,-118.29271141871675,34.03844138153068
82,2016-11-01 00:00:00-07,43.20017751761792,-118.31270816447545,33.8598003969227
232,2016-11-01 00:00:00-07,43.94654354223211,-118.39023142609992,33.98547252613005
346,2016-11-01 00:00:00-07,45.623584686532425,-118.44924984121444,34.051809932015075
332,2016-11-01 00:00:00-07,42.55590979378424,-118.24854743211291,34.079729662541205
426,2016-11-01 00:00:00-07,43.25626013814195,-118.37419072628325,34.11578297435513
456,2016-11-01 00:00:00-07,41.391688709570516,-118.21827349797995,34.16552088127147
190,2016-11-01 00:00:00-07,42.24995181502319,-118.41646990798903,33.94803052274344
312,2016-11-01 00:00:00-07,44.0597109263572,-118.17257676976844,34.08034397995488
62,2016-11-01 00:00:00-07,45.85513027151494,-118.19678401104763,33.853354748314096
526,2016-11-01 00:00:00-07,39.8930314355869,-118.29047750508269,34.213262373313185
540,2016-11-01 00:00:00-07,40.878571689824184,-118.29514594642751,34.22810032896627
301,2016-11-01 00:00:00-07,44.735895903199506,-118.3686370993336,34.03774005070742
317,2016-11-01 00:00:00-07,41.46971167235173,-118.51578165314399,34.02134968115796
436,2016-11-01 00:00:00-07,41.64928701596271,-118.19577463324555,34.154543757346275
41,2016-11-01 00:00:00-07,41.906945530691964,-118.33428985980667,33.80756216539485
494,2016-11-01 00:00:00-07,41.93888779924667,-118.26329166909416,34.18746131166563
523,2016-11-01 00:00:00-07,44.00503512202332,-118.34405053837908,34.201616120512696
191,2016-11-01 00:00:00-07,42.15340337346426,-118.3986803112172,33.95192609866694
279,2016-11-01 00:00:00-07,43.16092525791204,-118.34615512594625,34.02679779527031
193,2016-11-01 00:00:00-07,43.36250115211725,-118.36309539906671,33.95970826255394
479,2016-11-01 00:00:00-07,41.86555346961099,-118.1693473699599,34.19194471036714
355,2016-11-01 00:00:00-07,44.92274075085811,-118.28886153919233,34.0868190617219
503,2016-11-01 00:00:00-07,41.62734667370554,-118.44644770272583,34.163412725068085
357,2016-11-01 00:00:00-07,44.29820452886113,-118.25319870736432,34.094565827676774
584,2016-11-01 00:00:00-07,41.33988569179668,-118.367463029996,34.2757943163649
13,2016-11-01 00:00:00-07,42.21848665623308,-118.32499283527108,33.77791346539248
333,2016-11-01 00:00:00-07,43.51461448986502,-118.23071656016886,34.08359763861496
465,2016-11-01 00:00:00-07,42.21848665623308,-118.41922509935694,34.13765446000937
23,2016-11-01 00:00:00-07,41.64928701596271,-118.40064662482966,33.77718919572597
292,2016-11-01 00:00:00-07,43.97047396372636,-118.11444221897622,34.07705809067667
582,2016-11-01 00:00:00-07,42.78597670502611,-118.40320287634053,34.26800607488045
466,2016-11-01 00:00:00-07,42.474005369587246,-118.4013891184158,34.14155188571547
237,2016-11-01 00:00:00-07,45.140556204564504,-118.301211509154,34.004899489537614
