reportingarea, prediction, x, y
Central LA CO, 68.2475660639777, -118.2266, 34.0663
E San Fernando Vly, 60.3276836158192, -118.3169, 34.1758
E San Gabriel V-2, 39.5622286541245, -117.85, 34.1444
NW Coastal LA, 50.4112676056338, -118.4566, 34.0505
SW Coastal LA, 50.4112676056338, -118.4302, 33.9541
SW San Bernardino, 57.9285714285714, -117.6585, 34.0017
San Gabriel Mts, 45.6197771587744, -118.1152, 34.3927
Santa Clarita Vly, 36.4090909090909, -118.5283, 34.3833
South Coastal LA, 50.4112676056338, -118.1886, 33.8236
Southeast LA CO, 46.9915848527349, -118.0916, 33.9345
W San Fernando Vly, 60.3276836158192, -118.5327, 34.1991
W San Gabriel Vly, 51.8725490196078, -118.1272, 34.1327
